,AAPL,MSFT,NVDA
2025-11-21,0.0025597272002051367,0.003247706567194235,0.00597579122142338
2025-11-24,0.0007078039825852995,0.0005958648877400221,0.0016890030137947172
2025-11-25,0.0009398323972627477,0.0009563484207134127,0.0022423462341881373
2025-11-26,0.0009077890543367193,0.0009076465522317188,0.0021683075621789128
2025-11-27,0.0009121308755383834,0.0009142930039562271,0.002178344693244355
2025-11-28,0.0009115371863386225,0.0009133857671499115,0.0021769768586659137
2025-12-01,0.0009116182635698808,0.0009135097406441683,0.0021771636135267574
2025-12-02,0.0009116071816642226,0.0009134927977918774,0.002177138096914131
2025-12-03,0.0009116086962832662,0.0009134951135818011,0.0021771415841982905
2025-12-04,0.000911608489254787,0.0009134947970468419,0.0021771411075539255
2025-12-05,0.0009116085175528768,0.0009134948403132534,0.0021771411727043465
2025-12-08,0.0009116085136848615,0.0009134948343992484,0.002177141163799102
2025-12-09,0.000911608514213574,0.0009134948352076242,0.002177141165016343
2025-12-10,0.0009116085141413051,0.0009134948350971286,0.0021771411648499606
2025-12-11,0.0009116085141511834,0.0009134948351122321,0.0021771411648727032
2025-12-12,0.0009116085141498332,0.0009134948351101676,0.0021771411648695946
2025-12-15,0.0009116085141500178,0.0009134948351104498,0.002177141164870019
2025-12-16,0.0009116085141499925,0.0009134948351104112,0.002177141164869961
2025-12-17,0.000911608514149996,0.0009134948351104165,0.0021771411648699693
2025-12-18,0.0009116085141499955,0.0009134948351104159,0.002177141164869968
