,XOM,CVX,COP
2025-11-21,0.00019153911838459088,-0.0011307895531101051,0.0005904257344807608
2025-11-24,0.0008199055842286198,0.001439242600285137,0.001868135752777045
2025-11-25,0.002249503122466973,0.004345365492163716,0.0034822695147513727
2025-11-26,-0.0010988158183360415,-0.002459794326931072,-0.0020086923637179155
2025-11-27,0.0017693253088537518,0.0024776831377506144,0.002102199221969129
2025-11-28,-0.0002559068891690739,-0.0010813876749563745,-0.0012322262052389568
2025-12-01,-0.00014404186495033675,-0.0007403715993381801,-0.0010083394534930138
2025-12-02,0.00020605787623430847,0.000172307758838934,0.0004366653993377415
2025-12-03,0.00017980751258201856,0.00012183605952323202,7.087891102809451e-05
2025-12-04,0.0007048337023325627,0.001290431066191877,0.0012036273834839244
2025-12-05,4.4080233572915754e-05,-0.00026565571038405025,-0.0002475869916236553
2025-12-08,0.0006630522809575668,0.0009550731483572193,0.0008359233787519441
2025-12-09,0.00022095311676031463,0.00012996231127129556,0.00012053166206452476
2025-12-10,0.00025552312351887147,0.0002276613145427034,0.00010656128311906901
2025-12-11,0.00035432794816984124,0.0004124217626548692,0.00043070717037239616
2025-12-12,0.00025317800556759175,0.0002275524167205809,0.00016548515718968493
2025-12-15,0.0004482671204023755,0.0006189285354022969,0.000567706965172781
2025-12-16,0.0002473860091566322,0.00020655098239903913,0.00017610428321862792
2025-12-17,0.0004104248106201561,0.000524840960285447,0.0004560948625335246
2025-12-18,0.0003140342490000137,0.00033582940712576875,0.0003024542359910306
