,XOM,CVX,COP
2025-11-21,0.0013182918635302847,0.001675664670980525,0.0021636746082124387
2025-11-24,0.0002192114378817964,0.00023602772340259017,0.0001581217698051337
2025-11-25,0.0003269385724658071,0.00038056643168159036,0.00033052715802097684
2025-11-26,0.0003165208411185634,0.00036589732177675456,0.00031283439626788743
2025-11-27,0.0003176471632871418,0.00036744482046689714,0.00031472519672386443
2025-11-28,0.0003175311348468099,0.0003672845191432593,0.0003145306573680911
2025-12-01,0.00031754320101208793,0.0003673011903835212,0.0003145509229115839
2025-12-02,0.00031754194520879813,0.00036729945634548936,0.000314548815062361
2025-12-03,0.00031754207573431897,0.00036729963662420227,0.00031454903416878153
2025-12-04,0.000317542062160971,0.00036729961787797293,0.0003145490113833964
2025-12-05,0.00031754206357234745,0.0003672996198272246,0.0003145490137526071
2025-12-08,0.0003175420634255928,0.00036729961962454034,0.0003145490135062555
2025-12-09,0.0003175420634408526,0.00036729961964561566,0.00031454901353187144
2025-12-10,0.00031754206343926586,0.0003672996196434242,0.0003145490135292079
2025-12-11,0.0003175420634394309,0.0003672996196436521,0.00031454901352948484
2025-12-12,0.0003175420634394137,0.0003672996196436284,0.000314549013529456
2025-12-15,0.0003175420634394155,0.00036729961964363086,0.00031454901352945903
2025-12-16,0.00031754206343941526,0.00036729961964363064,0.0003145490135294587
2025-12-17,0.0003175420634394153,0.00036729961964363064,0.0003145490135294587
2025-12-18,0.0003175420634394153,0.00036729961964363064,0.0003145490135294587
