,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,125.27899934562068,0.01912550150332776,2232.0742275546863
2022-05-26,125.01304739319119,0.019079368684163264,2229.2031650977256
2022-05-27,124.73479347491586,0.01903003335373044,2225.9983227030975
2022-05-30,124.45852736090899,0.0189802784535482,2222.8607850583367
2022-05-31,124.18235025514815,0.01893038616639502,2219.7168131891294
2022-06-01,123.90678421181443,0.018880554901175142,2216.579219977118
2022-06-02,123.63180045126686,0.01883082952949874,2213.4457456123623
2022-06-03,123.35742248312964,0.018781227460726514,2210.3167606669836
2022-06-06,123.08365116184336,0.018731753505420796,2207.1921903901703
2022-06-07,122.81048684103797,0.018682409071909267,2204.072039126464
2022-06-08,122.53792854983956,0.01863319436402534,2200.9562984306
2022-06-09,122.26597509357599,0.01858410921806065,2197.8449623237016
2022-06-10,121.99462517322885,0.01853515334946965,2194.738024496064
2022-06-13,121.7238774641427,0.018486326436029148,2191.635478731832
2022-06-14,121.45373063441605,0.01843762814391357,2188.5373188179015
2022-06-15,121.18418335200103,0.018389058136190094,2185.4435385537463
2022-06-16,120.91523428677839,0.018340616075528893,2182.3541317478407
2022-06-17,120.6468821112554,0.018292301625076238,2179.2690922176566
2022-06-20,120.37912550077994,0.018244114448733056,2176.188413789456
2022-06-21,120.11196313360595,0.018196054211243002,2173.112090298248
2022-06-22,119.84539369090989,0.01814812057821918,2170.040115587764
2022-06-23,119.57941585679161,0.018100313216151152,2166.97248351044
2022-06-24,119.3140283182703,0.018052631792405623,2163.9091879274015
2022-06-27,119.04922976527872,0.018005075975225097,2160.8502227084546
2022-06-28,118.785018890657,0.017957645433725876,2157.7955817320694
2022-06-29,118.52139439014626,0.017910339837895854,2154.7452588853707
2022-06-30,118.25835496238221,0.01786315885859226,2151.6992480641243
2022-07-01,117.99589930888875,0.017816102167539375,2148.657543172725
2022-07-04,117.73402613407151,0.017769169437326246,2145.620138124185
2022-07-05,117.4727341452115,0.017722360341404418,2142.5870268401204
2022-07-06,117.21202205245872,0.01767567455408566,2139.5582032507405
2022-07-07,116.95188856882577,0.017629111750539696,2136.533661294835
2022-07-08,116.6923324101815,0.01758267160679194,2133.5133949197616
2022-07-11,116.43335229524475,0.01753635379972126,2130.4973980814343
2022-07-12,116.17494694557789,0.017490158007057707,2127.485664744311
2022-07-13,115.9171150855806,0.01744408390738029,2124.4781888813827
2022-07-14,115.65985544248359,0.017398131180114733,2121.474964474159
2022-07-15,115.40316674634224,0.017352299505531237,2118.475985512658
2022-07-18,115.14704773003037,0.01730658856474227,2115.481245995394
2022-07-19,114.891497129234,0.017260998039700347,2112.4907399293647
2022-07-20,114.63651368244508,0.017215527613195798,2109.5044613300392
2022-07-21,114.38209613095532,0.017170176968854582,2106.5224042213476
2022-07-22,114.12824321884986,0.01712494579113608,2103.5445626356677
2022-07-25,113.8749536930012,0.017079833765330895,2100.570930613813
2022-07-26,113.62222630306296,0.017034840577558663,2097.6015022050206
2022-07-27,113.37005980146367,0.016989965914765873,2094.636271466941
2022-07-28,113.11845294340065,0.016945209464723686,2091.6752324656236
2022-07-29,112.8674044868339,0.016900570916025766,2088.7183792755077
2022-08-01,112.6169131924799,0.016856049958086105,2085.765705979408
2022-08-02,112.36697782380553,0.016811646281136874,2082.817206668504
2022-08-03,112.11759714702195,0.01676735957622626,2079.872875442328
2022-08-04,111.86876993107853,0.016723189535216315,2076.932706408755
2022-08-05,111.62049494765677,0.01667913585078082,2073.9966936839874
2022-08-08,111.3727709711642,0.016635198216403132,2071.064831392545
2022-08-09,111.1255967787284,0.01659137632637407,2068.1371136672547
2022-08-10,110.87897115019086,0.016547669875789782,2065.2135346492364
2022-08-11,110.6328928681011,0.016504078560549605,2062.294088487893
2022-08-12,110.3873607177105,0.01646060207735398,2059.3787693408976
2022-08-15,110.1423734869664,0.016417240123702315,2056.467571374182
2022-08-16,109.89792996650615,0.0163739923978909,2053.5604887619256
2022-08-17,109.65402894965105,0.016330858599010796,2050.6575156865433
2022-08-18,109.41066923240041,0.01628783842694574,2047.7586463386733
2022-08-19,109.16784961342566,0.01624493158237007,2044.8638749171669
2022-08-22,108.92556889406438,0.016202137766746626,2041.9731956290755
2022-08-23,108.68382587831441,0.016159456682324685,2039.08660268964
2022-08-24,108.44261937282788,0.016116888032137882,2036.2040903222785
2022-08-25,108.2019481869054,0.016074431520002153,2033.3256527585752
2022-08-26,107.96181113249015,0.016032086850513657,2030.4512842382687
2022-08-29,107.72220702416202,0.015989853729046745,2027.5809790092403
2022-08-30,107.48313467913171,0.015947731861751885,2024.714731327503
2022-08-31,107.24459291723497,0.015905720955553634,2021.852535457189
2022-09-01,107.00658056092674,0.015863820718148597,2018.99438567054
2022-09-02,106.7690964352753,0.01582203085800338,2016.1402762478936
2022-09-05,106.53213936795655,0.015780351084352585,2013.2902014776732
2022-09-06,106.29570818924815,0.015738781107196766,2010.4441556563766
2022-09-07,106.05980173202377,0.015697320637300415,2007.6021330885635
2022-09-08,105.82441883174735,0.01565596938618996,2004.7641280868456
2022-09-09,105.58955832646731,0.015614727066151753,2001.9301349718742
2022-09-12,105.35521905681085,0.015573593390230058,1999.100148072329
2022-09-13,105.12139986597823,0.015532568072225071,1996.2741617249067
2022-09-14,104.88809959973702,0.015491650826690916,1993.45217027431
2022-09-15,104.65531710641642,0.015450841368933663,1990.6341680732362
2022-09-16,104.4230512369016,0.015410139415009351,1987.8201494823659
2022-09-19,104.191300844628,0.015369544681722006,1985.0101088703511
2022-09-20,103.9600647855757,0.015329056886621674,1982.2040406138049
