,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,0.000668690726963842,0.0007290130174620489,0.00041287961850877306
2022-05-26,0.0006657787517933805,0.0006727018095198779,0.00046286809656400615
2022-05-27,0.000590655225191648,0.0006028553474517138,0.00040956809125285436
2022-05-30,0.0006096101853821148,0.0006289943951264391,0.0004177037266026112
2022-05-31,0.0006145208216939043,0.000631586750912574,0.0004228614722604698
2022-06-01,0.0006107802106536645,0.0006274727169292867,0.0004206050958917313
2022-06-02,0.0006110951063895067,0.0006281899344723624,0.00042053655850122785
2022-06-03,0.0006115251054510968,0.0006285689821706799,0.00042087170050771365
2022-06-06,0.0006113763763256154,0.0006283795671075669,0.0004208004818717702
2022-06-07,0.0006113567204017542,0.0006283770932570642,0.00042077466460940127
