Date,NLMK.ME-VAR,GMKN.ME-VAR,CHMF.ME-VAR
2022-01-28,206.34568333303528,22015.70260419448,1306.6675520075858
2022-01-31,206.56028699024867,22027.798426701134,1307.805152590718
2022-02-01,206.8455047277231,22040.858457733964,1309.177049643301
2022-02-02,207.08949365812856,22053.20900119132,1310.4459358662139
2022-02-03,207.33311068936942,22065.458143572745,1311.713441791438
2022-02-04,207.5792572547976,22077.708947280375,1312.984835767963
2022-02-07,207.82558892932698,22089.97397730675,1314.257612198915
2022-02-08,208.07208485601987,22102.24816212399,1315.531582907304
2022-02-09,208.31889263337985,22114.528651254186,1316.806775706624
2022-02-10,208.56599976461504,22126.81574525278,1318.083203015437
2022-02-11,208.81339778492196,22139.109708470452,1319.3608685350378
2022-02-14,209.0610890429413,22151.41051711152,1320.6397727646176
2022-02-15,209.30907431120207,22163.718156470066,1321.9199166158737
2022-02-16,209.55735372932122,22176.032633381754,1323.2013013408707
2022-02-17,209.80592763746796,22188.353952719903,1324.4839281634409
2022-02-18,210.0547964026821,22200.682117977256,1325.7677982833204
2022-02-21,210.30396037341262,22213.017132912883,1327.0529129044958
2022-02-22,210.55341989856458,22225.35900136003,1328.3392732336827
2022-02-24,210.80317532896242,22237.707727126704,1329.6268804784359
2022-02-25,211.05322701567778,22250.063314020816,1330.915735847405
2022-03-24,211.30357531009864,22262.425765854747,1332.205840550442
2022-03-25,211.55422056405396,22274.795086442897,1333.497195798574
2022-03-28,211.80516312979537,22287.1712796016,1334.7898028039995
2022-03-29,212.0564033599897,22299.55434914936,1336.0836627800916
2022-03-30,212.30794160772206,22311.94429890679,1337.3787769414002
2022-03-31,212.5597782264966,22324.341132696638,1338.6751465036523
2022-04-01,212.81191357023675,22336.744854343768,1339.9727726837534
2022-04-04,213.06434799328576,22349.15546767517,1341.2716566997885
2022-04-05,213.3170818504072,22361.57297651996,1342.5717997710235
2022-04-06,213.57011549678543,22373.99738470939,1343.873203117906
2022-04-07,213.82344928802615,22386.42869607683,1345.1758679620668
2022-04-08,214.07708358015688,22398.866914457783,1346.4797955263207
2022-04-11,214.33101872962743,22411.31204368989,1347.784987034668
2022-04-12,214.58525509331045,22423.76408761291,1349.0914437122951
2022-04-13,214.8397930285019,22436.22305006875,1350.3991667855767
2022-04-14,215.09463289292154,22448.688934901445,1351.7081574820756
2022-04-15,215.34977504471345,22461.16174595716,1353.018417030545
2022-04-18,215.6052198424466,22473.64148708421,1354.3299466609285
2022-04-19,215.86096764511518,22486.128162133038,1355.6427476043627
2022-04-20,216.11701881213932,22498.62177495623,1356.9568210931775
2022-04-21,216.37337370336542,22511.122329408514,1358.2721683608968
2022-04-22,216.63003267906674,22523.62982934675,1359.5887906422404
2022-04-25,216.88699609994393,22536.14427862996,1360.9066891731254
2022-04-26,217.14426432712546,22548.66568111929,1362.2258651906664
2022-04-27,217.40183772216815,22561.19404067805,1363.5463199331773
2022-04-28,217.65971664705776,22573.729361171678,1364.8680546401724
2022-04-29,217.91790146420936,22586.271646467772,1366.1910705523678
2022-05-04,218.17639253646794,22598.820900436072,1367.5153689116817
2022-05-05,218.4351902271089,22611.377126948475,1368.8409509612366
2022-05-06,218.69429489983852,22623.940329879028,1370.1678179453595
2022-05-11,218.95370691879455,22636.510513103924,1371.4959711095842
2022-05-12,219.21342664854666,22649.087680501514,1372.8254117006516
2022-05-13,219.47345445409692,22661.671835952304,1374.1561409665107
2022-05-16,219.73379070088046,22674.26298333896,1375.4881601563209
2022-05-17,219.99443575476576,22686.861126546293,1376.8214705204518
2022-05-18,220.2553899820554,22699.46626946129,1378.1560733104857
2022-05-19,220.51665374948638,22712.07841597308,1379.4919697792172
2022-05-20,220.77822742423078,22724.697569972966,1380.8291611806562
2022-05-23,221.04011137389617,22737.323735354406,1382.1676487700277
2022-05-24,221.30230596652618,22749.956916013023,1383.5074338037732
