,XOM,CVX,COP
2025-11-21,117.04241269676385,150.14012464698456,87.52166100955255
2025-11-24,117.13841577587773,150.35636828659008,87.68531617106066
2025-11-25,117.40221560595575,151.01114324883366,87.9911923369855
2025-11-26,117.2732830438823,150.6401433741243,87.81462249747723
2025-11-27,117.48096130264561,151.01384468276956,87.99942050162363
2025-11-28,117.45090096179027,150.8506284383048,87.89105209054571
2025-12-01,117.43398433335624,150.73898425145916,87.80247274164518
2025-12-02,117.45818502405155,150.7649599858512,87.84082141562791
2025-12-03,117.47930678700203,150.78332971351492,87.84704769804712
2025-12-04,117.56213934991398,150.97803080359049,87.95284646859068
2025-12-05,117.5673216306931,150.93792795457625,87.9310731834311
2025-12-08,117.64530076072954,151.08215357868167,88.00460755349145
2025-12-09,117.67129772855459,151.10178984051194,88.01521553439517
2025-12-10,117.70136930792704,151.13619378869222,88.02459504843416
2025-12-11,117.74308158208655,151.19853849940955,88.0625160385256
2025-12-12,117.7728953145823,151.23294800708453,88.07709028371212
2025-12-15,117.82570086583837,151.32657936667027,88.12710645726008
2025-12-16,117.85485290150586,151.35783924857006,88.14262738478567
2025-12-17,117.90323338478485,151.4372988922819,88.18283795352593
2025-12-18,117.94026485240575,151.48816453119625,88.20951326023308
