,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,125.30043506894475,0.019144793145589017,2251.694256198193
2022-05-26,125.14301775079063,0.01911717779547237,2251.4171152353856
2022-05-27,124.62824792149131,0.019033985512287556,2241.5511438086633
2022-05-30,124.48292522450633,0.01899470443391068,2242.5040399177037
2022-05-31,124.1786275392388,0.01893875397612173,2237.5542635469096
2022-06-01,123.87957600322409,0.01888093420179933,2234.3635371939886
2022-06-02,123.61088933371079,0.018830691565234828,2232.3872815024984
2022-06-03,123.35410648673519,0.0187793613709619,2229.438752020018
2022-06-06,123.0755742601995,0.018726865188750087,2226.752047663837
2022-06-07,122.82232495782966,0.01867733846681382,2224.374742055286
