Date,XOM-VAR,CVX-VAR,COP-VAR
2025-08-28,111.50191310253557,156.7967890783781,96.67376447497868
2025-08-29,111.7703526119294,157.24712720763583,96.9744394410744
2025-09-02,111.78572991666147,157.4910600123912,97.1017981807039
2025-09-03,111.79525643536068,157.77223456922405,97.14262017901038
2025-09-04,111.93958804681795,158.0045625271182,97.27900364672718
2025-09-05,111.89792249138955,157.7648446536189,97.15361412378245
2025-09-08,112.00836973474642,158.1072869240566,97.33986004100993
2025-09-09,111.94060220523156,157.92997000665187,97.23409855510768
2025-09-10,111.99173535496423,158.06111986793996,97.31052492536708
2025-09-11,112.03360139666485,158.12941362780813,97.3705212842072
2025-09-12,112.07823512259016,158.21203733585557,97.40491844383101
2025-09-15,112.13061958252463,158.3313500357753,97.48060460404872
2025-09-16,112.13875308293672,158.31359462762515,97.46764154429302
2025-09-17,112.2038076600536,158.4577295062842,97.55050485704636
2025-09-18,112.2197196755175,158.46573965269695,97.55564740362928
2025-09-19,112.26402745117787,158.5521119691487,97.60218472736582
2025-09-22,112.29986837137278,158.6153154217709,97.6433690598031
2025-09-23,112.33379047370256,158.67560277055946,97.67439616015241
2025-09-24,112.37697872274161,158.76027716993968,97.72491693227431
2025-09-25,112.40556886776037,158.80247697213983,97.74840224813302
2025-09-26,112.44973013978696,158.88907214393615,97.7980433283483
2025-09-29,112.48104524544665,158.9399832433492,97.8278569978955
2025-09-30,112.51937901478554,159.0108463195916,97.86756849559895
2025-10-01,112.55591014328184,159.0761924333724,97.906361896827
2025-10-02,112.59129646330592,159.13859049822236,97.94131092187956
2025-10-03,112.63002758056221,159.21030042420716,97.98304737977804
2025-10-06,112.66430339556297,159.2692717600354,98.01676425005007
2025-10-07,112.70292279836556,159.3405945390957,98.05767137049389
2025-10-08,112.7382364189949,159.402588765438,98.09351542543556
2025-10-09,112.77531992530963,159.46959755586138,98.13169980511165
2025-10-10,112.8120462956978,159.53552660373018,98.16991768815392
2025-10-13,112.84823495584202,159.60000645793218,98.20672679600766
2025-10-14,112.8855536013984,159.66765102692762,98.2457300393943
2025-10-15,112.92156053901817,159.73155409427423,98.28241388288887
2025-10-16,112.95878402461007,159.79890208470613,98.32107353985745
2025-10-17,112.99515617227239,159.86383118519927,98.35845603255365
2025-10-20,113.03196286871886,159.92999681372123,98.39637433747761
2025-10-21,113.06873743641418,159.9960482186597,98.43441345548507
2025-10-22,113.10531087454292,160.0615395489234,98.47197514679631
2025-10-23,113.14225188717198,160.1280592668794,98.51022366861172
2025-10-24,113.17881817080253,160.1935079081219,98.54781783377251
2025-10-27,113.215727554717,160.25992452009132,98.58595752742646
2025-10-28,113.25242626370904,160.32573500613327,98.62378750351648
2025-10-29,113.289234788894,160.39185406854813,98.6617402608197
2025-10-30,113.32606168208092,160.45801404628278,98.6997686863248
2025-10-31,113.3628247761578,160.52399026316974,98.73764902426244
2025-11-03,113.39970937118694,160.59030292322305,98.77574608304772
2025-11-04,113.43649457946447,160.65632672571596,98.8136684177837
2025-11-05,113.47338197462948,160.72263437691717,98.85174751584614
2025-11-06,113.51022470811948,160.78880766417973,98.88976146471524
2025-11-07,113.54710064083844,160.85506968525365,98.92780930405836
2025-11-10,113.58399587551268,160.92137858053428,98.96589798002262
2025-11-11,113.62087761885944,160.98764341574133,99.00394926494224
2025-11-12,113.65780438685287,161.05402898944507,99.04207488021568
2025-11-13,113.69471148555341,161.1203519738222,99.08016219534159
2025-11-14,113.73165487614487,161.18677150958544,99.11830172484022
2025-11-17,113.76859613187253,161.25317794691546,99.15643686036812
2025-11-18,113.80555350722227,161.31962381099774,99.19458887202326
2025-11-19,113.84252651251175,161.38610701901135,99.23276544812705
2025-11-20,113.87950328079727,161.45259442368183,99.27094048621073
