Date,NLMK.ME-VAR,GMKN.ME-VAR,CHMF.ME-VAR
2022-01-28,-0.0028760711464301406,-0.000921526117811534,-0.0014396485746153748
2022-01-31,0.0010394796489330048,0.0005492670894745096,0.0008702333383891365
2022-02-01,0.0013798441552692932,0.0005927129319789174,0.001048457400348044
2022-02-02,0.0011788757153361107,0.0005601907236995147,0.0009687549156254006
2022-02-03,0.0011756938774427413,0.0005552816296998167,0.0009667650523041489
2022-02-04,0.0011864991902964476,0.0005550487121566993,0.0009687925555747467
2022-02-07,0.001185983773013044,0.0005553848211862737,0.0009689067954184585
2022-02-08,0.0011853682821159341,0.0005554907419742195,0.0009688767528731595
2022-02-09,0.0011854618356610758,0.0005554674189746706,0.0009688670112634973
2022-02-10,0.0011854934764079944,0.0005554575468769939,0.0009688658114527494
2022-02-11,0.0011854828040540662,0.0005554594604202964,0.0009688665123391848
2022-02-14,0.001185481740738368,0.0005554601253128332,0.000968866681026895
2022-02-15,0.0011854827089733096,0.0005554599543486847,0.0009688666307444571
2022-02-16,0.0011854826769365885,0.0005554599206780269,0.0009688666186901761
2022-02-17,0.001185482603284201,0.0005554599354611265,0.000968866622520718
2022-02-18,0.0011854826141651216,0.00055545993630925,0.0009688666231203259
2022-02-21,0.0011854826188090518,0.000555459935147327,0.0009688666228244501
2022-02-22,0.0011854826174413258,0.0005554599352226744,0.0009688666228120593
2022-02-24,0.0011854826172250723,0.0005554599353024706,0.0009688666228336627
2022-02-25,0.0011854826173557766,0.0005554599352869756,0.000968866622831946
2022-03-24,0.001185482617358428,0.0005554599352825029,0.0009688666228305485
2022-03-25,0.001185482617347932,0.0005554599352842472,0.0009688666228308579
2022-03-28,0.0011854826173488774,0.000555459935284405,0.0009688666228309303
2022-03-29,0.0011854826173495925,0.0005554599352842495,0.0009688666228308969
2022-03-30,0.0011854826173494399,0.0005554599352842542,0.0009688666228308949
2022-03-31,0.0011854826173494008,0.000555459935284266,0.0009688666228308978
2022-04-01,0.001185482617349417,0.0005554599352842642,0.0009688666228308976
2022-04-04,0.0011854826173494184,0.0005554599352842635,0.0009688666228308975
2022-04-05,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-06,0.001185482617349417,0.0005554599352842638,0.0009688666228308975
2022-04-07,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-08,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-11,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-12,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-13,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-14,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-15,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-18,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-19,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-20,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-21,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-22,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-25,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-26,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-27,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-04-28,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-04-29,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-04,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-05,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-06,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-11,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-12,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-13,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-16,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-17,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-18,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-19,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-20,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
2022-05-23,0.0011854826173494169,0.0005554599352842637,0.0009688666228308975
2022-05-24,0.001185482617349417,0.0005554599352842637,0.0009688666228308975
