Date,GAZP.ME-VAR,LKOH.ME-VAR,ROSN.ME-VAR
2022-01-28,0.005321783625394059,0.0018824422557399442,0.005378978247506401
2022-01-31,0.0010728432102074601,0.0011565069333032676,0.001179533293695992
2022-02-01,0.0007499939189374393,0.0009360488111612785,0.0006948158405886235
2022-02-02,0.0007307107294382017,0.0009149080771207988,0.0006400218977929575
2022-02-03,0.0007299489775568076,0.0009123105560655137,0.0006339561225554768
2022-02-04,0.000729991207919998,0.000912026820289457,0.0006332945594273822
2022-02-07,0.0007300068105214535,0.0009119953824155637,0.0006332233248514051
2022-02-08,0.0007300094811278048,0.0009119919847978781,0.0006332157351764028
2022-02-09,0.000730009855217509,0.0009119916204638797,0.0006332149339034677
2022-02-10,0.0007300099029256109,0.0009119915818314481,0.00063321484998247
2022-02-11,0.0007300099086813718,0.0009119915777680012,0.0006332148412553192
2022-02-14,0.0007300099093506871,0.0009119915773438879,0.0006332148403535626
2022-02-15,0.0007300099094264872,0.0009119915772999176,0.0006332148402609307
2022-02-16,0.0007300099094349011,0.000911991577295387,0.0006332148402514667
2022-02-17,0.0007300099094358204,0.0009119915772949228,0.0006332148402505046
2022-02-18,0.0007300099094359195,0.0009119915772948754,0.0006332148402504073
2022-02-21,0.0007300099094359301,0.0009119915772948707,0.0006332148402503975
2022-02-22,0.0007300099094359312,0.0009119915772948702,0.0006332148402503965
2022-02-24,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-02-25,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-24,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-25,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-28,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-29,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-30,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-03-31,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-01,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-04,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-05,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-06,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-07,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-08,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-11,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-12,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-13,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-14,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-15,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-18,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-19,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-20,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-21,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-22,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-25,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-26,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-27,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-28,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-04-29,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-04,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-05,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-06,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-11,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-12,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-13,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-16,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-17,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-18,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-19,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-20,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-23,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
2022-05-24,0.0007300099094359313,0.0009119915772948701,0.0006332148402503964
