Date,WMT-VAR,COST-VAR,TGT-VAR
2025-08-28,96.10304519667237,948.7153439674539,96.7449028131258
2025-08-29,96.14782054667182,949.0826469945898,96.70533187816385
2025-09-02,96.21885781250148,949.8267589064577,96.72640220884016
2025-09-03,96.28822833829287,950.5801344918895,96.74906255543526
2025-09-04,96.35719403507458,951.3330173331528,96.77204424128232
2025-09-05,96.42615071084323,952.0851321102436,96.79483397846982
2025-09-08,96.49515432025842,952.8376296438348,96.8175836206527
2025-09-09,96.56421121158199,953.5907515761728,96.84034061011228
2025-09-10,96.63331793822526,954.3444764008902,96.86310413308316
2025-09-11,96.70247409255384,955.0987979554365,96.88587326277106
2025-09-12,96.7716797202951,955.8537156156812,96.90864773734667
2025-09-15,96.84093487222371,956.6092299057541,96.93142755474578
2025-09-16,96.91023958723132,957.3653413556118,96.95421272575868
2025-09-17,96.9795939006501,958.1220504429484,96.97700325285483
2025-09-18,97.04899784785569,958.8793576394469,96.99979913725899
2025-09-19,97.11845146435286,959.6372634175315,97.02260038018164
2025-09-22,97.18795478568852,960.39576825029,97.04540698287428
2025-09-23,97.25750784743494,961.1548726112255,97.06821894659716
2025-09-24,97.3271106851892,961.9145769742122,97.09103627261074
2025-09-25,97.39676333457375,962.6748818134963,97.11385896217556
2025-09-26,97.46646583123653,963.4357876036989,97.1366870165524
2025-09-29,97.53621821085102,964.1972948198165,97.15952043700236
2025-09-30,97.60602050911619,964.9594039372208,97.1823592247868
2025-10-01,97.67587276175661,965.7221154316593,97.20520338116738
2025-10-02,97.74577500452236,966.4854297792555,97.22805290740608
2025-10-03,97.81572727318914,967.2493474565093,97.25090780476516
2025-10-06,97.88572960355823,968.0138689402972,97.2737680745072
2025-10-07,97.95578203145656,968.7789947078727,97.29663371789503
2025-10-08,98.0258845927367,969.5447252368664,97.31950473619183
2025-10-09,98.09603732327685,970.3110610052864,97.34238113066104
2025-10-10,98.16624025898088,971.0780024915188,97.36526290256641
2025-10-13,98.2364934357784,971.8455501743276,97.388150053172
2025-10-14,98.3067968896247,972.6137045328555,97.41104258374213
2025-10-15,98.37715065650082,973.3824660466237,97.43394049554145
2025-10-16,98.44755477241353,974.1518351955324,97.45684378983489
2025-10-17,98.51800927339536,974.9218124598613,97.4797524678877
2025-10-20,98.58851419550467,975.6923983202695,97.50266653096541
2025-10-21,98.6590695748256,976.4635932577961,97.52558598033384
2025-10-22,98.7296754474681,977.2353977538605,97.54851081725913
2025-10-23,98.80033184956798,978.0078122902627,97.5714410430077
2025-10-24,98.87103881728692,978.7808373491831,97.59437665884626
2025-10-27,98.94179638681246,979.5544734131837,97.61731766604186
2025-10-28,99.01260459435804,980.3287209652076,97.64026406586179
2025-10-29,99.08346347616302,981.1035804885798,97.66321585957368
2025-10-30,99.1543730684927,981.8790524670073,97.68617304844544
2025-10-31,99.22533340763833,982.6551373845793,97.70913563374529
2025-11-03,99.29634452991712,983.4318357257678,97.73210361674174
2025-11-04,99.3674064716723,984.2091479754275,97.75507699870359
2025-11-05,99.43851926927307,984.9870746187967,97.77805578089995
2025-11-06,99.5096829591147,985.7656161414968,97.80103996460022
2025-11-07,99.58089757761846,986.5447730295334,97.82402955107412
2025-11-10,99.65216316123173,987.324545769296,97.84702454159164
2025-11-11,99.72347974642794,988.1049348475588,97.87002493742307
2025-11-12,99.79484736970664,988.8859407514803,97.89303073983903
2025-11-13,99.86626606759351,989.6675639686047,97.91604195011041
2025-11-14,99.93773587664035,990.449804986861,97.9390585695084
2025-11-17,100.00925683342511,991.232664294564,97.96208059930451
2025-11-18,100.08082897455195,992.0161423804146,97.98510804077053
2025-11-19,100.15245233665121,992.8002397335,98.00814089517854
2025-11-20,100.22412695637944,993.5849568432939,98.03117916380094
