Date,AAPL-VAR,MSFT-VAR,NVDA-VAR
2025-08-28,230.22591853532305,506.41264894911154,181.69569467664084
2025-08-29,230.46540828370527,507.0281974444573,182.16272454989814
2025-09-02,230.66201955452,507.49888795693806,182.5603955602158
2025-09-03,230.8651178244511,507.9911020888772,182.9698554502814
2025-09-04,231.06749521746005,508.48079240111593,183.37864552703454
2025-09-05,231.27017733308818,508.97137903197154,183.7885753191406
2025-09-08,231.4730192714675,509.46237913434,184.19938942507616
2025-09-09,231.67604164976748,509.95386133634173,184.6111263326516
2025-09-10,231.87924173996183,510.4458164861095,185.02378294776855
2025-09-11,232.08262010461752,510.93824639508716,185.43736205402493
2025-09-12,232.2861768427957,511.4311513303256,185.85186561075267
2025-09-15,232.48991211901864,511.9245317769903,186.26729569884088
2025-09-16,232.69382608874236,512.4183881900191,186.68365438729836
2025-09-17,232.89791890885692,512.9127210291132,187.10094375209093
2025-09-18,233.10219073620718,513.4075307538084,187.51916587349575
2025-09-19,233.30664172780132,513.9028178241693,187.9383228364864
2025-09-22,233.5112720407816,514.3985827006926,188.35841673069035
2025-09-23,233.71608183242859,514.8948258443207,188.77944965040697
2025-09-24,233.92107126016074,515.3915477164405,189.2014236946168
2025-09-25,234.12624048153464,515.888748778884,189.62434096699218
2025-09-26,234.331589654245,516.3864294939286,190.04820357590773
2025-09-29,234.53711893612484,516.884590324298,190.47301363445092
2025-09-30,234.74282848514568,517.3832317331619,190.8987732604325
2025-10-01,234.94871845941753,517.8823541841372,191.32548457639712
2025-10-02,235.15478901718913,518.3819581412877,191.7531497096339
2025-10-03,235.36104031684798,518.8820440691251,192.18177079218705
2025-10-06,235.5674725169205,519.3826124326092,192.6113499608665
2025-10-07,235.77408577607216,519.8836636971484,193.04188935725853
2025-10-08,235.9808802531076,520.3851983286,193.4733911277364
2025-10-09,236.18785610697077,520.8872167932707,193.90585742347116
2025-10-10,236.39501349674495,521.3897195579169,194.33929040044234
2025-10-13,236.602352581653,521.8927070897456,194.77369221944863
2025-10-14,236.80987352105748,522.3961798564144,195.20906504611872
2025-10-15,237.01757647446064,522.900138326032,195.6454110509221
2025-10-16,237.22546160150466,523.4045829671586,196.08273240917978
2025-10-17,237.43352906197174,523.9095142488067,196.52103130107528
2025-10-20,237.64177901578424,524.414932640441,196.96030991166543
2025-10-21,237.85021162300475,524.9208386119791,197.40057043089124
2025-10-22,238.05882704383632,525.4272326337921,197.84181505358882
2025-10-23,238.26762543862242,525.9341151767048,198.2840459795004
2025-10-24,238.4766069678472,526.4414867119963,198.7272654132852
2025-10-27,238.68577179213557,526.9493477114,199.17147556453048
2025-10-28,238.89512007225332,527.4576986471048,199.6166786477625
2025-10-29,239.10465196910724,527.9665399917549,200.06287688245766
2025-10-30,239.31436764374527,528.4758722184504,200.51007249305343
2025-10-31,239.52426725735657,528.9856958007481,200.95826770895954
2025-11-03,239.7343509712717,529.4960112126613,201.40746476456908
2025-11-04,239.94461894696272,530.0068189286608,201.85766589926962
2025-11-05,240.15507134604331,530.5181194236751,202.30887335745436
2025-11-06,240.3657083302689,531.0299131730908,202.76108938853332
2025-11-07,240.57653006153677,531.5422006527531,203.21431624694463
2025-11-10,240.78753670188624,532.0549823389663,203.66855619216568
2025-11-11,240.99872841349872,532.5682587084942,204.12381148872439
2025-11-12,241.21010535869792,533.0820302385605,204.58008440621055
2025-11-13,241.42166769994984,533.5962974068493,205.0373772192871
2025-11-14,241.63341559986304,534.1110606915055,205.49569220770147
2025-11-17,241.84534922118868,534.6263205711354,205.955031656297
2025-11-18,242.05746872682064,535.1420775248067,206.4153978550242
2025-11-19,242.26977427979574,535.6583320320497,206.8767930989523
2025-11-20,242.48226604329375,536.1750845728568,207.33921968828068
