Date,SBER.ME-VAR,VTBR.ME-VAR,TCSG.ME-VAR
2022-01-28,0.010600344469243485,0.010338217715745373,0.01667336900835269
2022-01-31,-0.0026608158137543386,0.011255732822259557,-0.004585469370401094
2022-02-01,0.005811793554954363,0.014793665017828302,0.009100858205211932
2022-02-02,0.007212666022867047,0.009798854003936954,0.014703443227544216
2022-02-03,-0.0025912110918257774,-0.0008941634284334503,0.0017753207063282758
2022-02-04,-0.0036314438102554546,-0.0024125127978960625,0.0005102919457430132
2022-02-07,-0.000487968335690938,0.0006519355510807275,0.003946944633663899
2022-02-08,0.00014821250538178365,0.0002882569500401475,0.002666989087907632
2022-02-09,-0.0006424893820372403,-0.0009350551692700468,0.0007889322926352478
2022-02-10,-0.0006293225282246266,-0.0007163307888033476,0.0010949529696497574
2022-02-11,-0.0006370499496961275,-0.0005427435901089634,0.0012271356488479947
2022-02-14,-0.0005808096971204156,-0.0007522356952909269,0.0010906319013707206
2022-02-15,-0.0005384276599963514,-0.0008444834702104075,0.0011519801443320315
2022-02-16,-0.0005612572793272738,-0.0008404753585195416,0.0011772034436804439
2022-02-17,-0.0006019207529211662,-0.0008502783863192933,0.0010848973263840283
2022-02-18,-0.0005379885938844896,-0.0008169369969559051,0.0011240993444543807
2022-02-21,-0.0005122565957470809,-0.0007938760424111973,0.0011604113895740606
2022-02-22,-0.0005342561331778029,-0.0008103923302764,0.00113064302206847
2022-02-24,-0.0005446476017334042,-0.0008164329940172533,0.0011192714172621138
2022-02-25,-0.0005318361872302516,-0.0008049098416355398,0.0011411871643242602
2022-03-24,-0.0005315879460088721,-0.0008047371520464104,0.0011423212614672155
2022-03-25,-0.0005348019131558679,-0.0008096300102232823,0.0011358789575954295
2022-03-28,-0.0005344851356574695,-0.0008083013717379701,0.001137545638730071
2022-03-29,-0.000533067188168241,-0.0008060614838877811,0.0011399318499845982
2022-03-30,-0.0005335661153512438,-0.0008065644350829226,0.0011385193034706062
2022-03-31,-0.0005334121617302199,-0.0008068286770345978,0.001138557209430881
2022-04-01,-0.0005334736842750808,-0.0008065533801544554,0.0011390310923737176
2022-04-04,-0.0005336461175094197,-0.000806618977056303,0.0011388287044679065
2022-04-05,-0.000533653440972678,-0.0008066960380055517,0.0011387348909884362
2022-04-06,-0.0005334982616252113,-0.0008066026498726479,0.0011389765134226413
2022-04-07,-0.0005335788312272995,-0.0008066257281396474,0.0011389005203969603
2022-04-08,-0.0005336158520380468,-0.0008066666856403064,0.0011388142763858
2022-04-11,-0.0005335825094348734,-0.0008066318922152789,0.0011388667442941973
2022-04-12,-0.0005335652859463613,-0.0008066165558628526,0.0011388947402595382
2022-04-13,-0.0005335909112772093,-0.0008066399351845901,0.0011388557214864765
2022-04-14,-0.0005335887296295959,-0.0008066416694437345,0.0011388587181226134
2022-04-15,-0.0005335839903359261,-0.0008066331863132648,0.0011388710674967934
2022-04-18,-0.0005335848772036513,-0.0008066354207344952,0.001138866935070748
2022-04-19,-0.0005335868175309443,-0.0008066383884247846,0.0011388627163544465
2022-04-20,-0.0005335848732110757,-0.0008066365320542127,0.0011388663251986747
2022-04-21,-0.0005335856687120855,-0.0008066362465131669,0.0011388656912199803
2022-04-22,-0.0005335858068363999,-0.0008066369662019131,0.0011388646223768576
2022-04-25,-0.0005335854949300026,-0.0008066367465992491,0.0011388652500687385
2022-04-26,-0.0005335853992342433,-0.0008066365842512068,0.001138865571479531
2022-04-27,-0.0005335857629106216,-0.0008066368514393323,0.0011388650049681181
2022-04-28,-0.0005335855941249675,-0.000806636805389508,0.0011388651602337709
2022-04-29,-0.000533585526090578,-0.0008066366938843328,0.0011388653290366204
2022-05-04,-0.0005335855774927475,-0.000806636753147933,0.0011388652224603333
2022-05-05,-0.0005335856140130647,-0.0008066367868812715,0.001138865161649422
2022-05-06,-0.0005335855640325844,-0.0008066367430535115,0.0011388652432315267
2022-05-11,-0.0005335855772283135,-0.0008066367438789694,0.0011388652307515836
2022-05-12,-0.0005335855841721612,-0.0008066367611067023,0.0011388652085138813
2022-05-13,-0.0005335855812005557,-0.0008066367559384384,0.001138865218666207
2022-05-16,-0.0005335855770481683,-0.0008066367506152011,0.0011388652264683712
2022-05-17,-0.0005335855822097198,-0.0008066367549072247,0.0011388652172778973
2022-05-18,-0.0005335855797561392,-0.0008066367547823033,0.0011388652194186495
2022-05-19,-0.0005335855794609107,-0.000806636753116345,0.0011388652216694473
2022-05-20,-0.0005335855801204486,-0.000806636753839841,0.0011388652202001383
2022-05-23,-0.0005335855805190304,-0.0008066367542958994,0.001138865219424161
2022-05-24,-0.0005335855796779206,-0.000806636753677797,0.0011388652207564675
