Date,GAZP.ME,LKOH.ME,ROSN.ME
2015-11-20,101.55461120605467,1584.0096435546875,209.6115264892578
2015-11-23,104.26409149169922,1654.3548583984375,211.07086181640625
2015-11-24,99.90834045410156,1607.0218505859375,204.1196746826172
2015-11-25,98.76966857910156,1625.730224609375,208.57455444335935
2015-11-26,98.22775268554688,1620.554443359375,208.03692626953125
2015-11-27,96.47858428955078,1583.6357421875,206.00148010253903
2015-11-30,94.6608428955078,1580.3302001953125,203.54360961914065
2015-12-01,94.26297760009766,1595.8585205078125,203.3131866455078
2015-12-02,93.87198638916016,1581.14111328125,198.551025390625
2015-12-03,96.03272247314452,1595.8585205078125,197.85972595214844
2015-12-04,94.45503997802734,1552.765869140625,193.1360015869141
2015-12-07,92.260009765625,1502.9384765625,187.41372680664065
2015-12-08,92.36289978027344,1482.919921875,187.9129943847656
2015-12-09,93.15859985351562,1487.41015625,190.2556610107422
2015-12-10,93.01455688476562,1524.7652587890625,191.2541656494141
2015-12-11,91.77985382080078,1527.883544921875,188.06661987304688
2015-12-14,90.26390838623048,1517.1573486328125,188.10499572753903
2015-12-15,92.19141387939452,1525.8878173828125,191.79183959960935
2015-12-16,92.260009765625,1506.0567626953125,192.0990753173828
2015-12-17,94.59223175048828,1513.539794921875,198.7046356201172
2015-12-18,90.71662139892578,1451.239990234375,192.5983123779297
2015-12-21,90.20215606689452,1458.473876953125,188.6426544189453
2015-12-22,91.36827850341795,1492.6632080078125,190.6396942138672
2015-12-23,92.80876922607422,1486.2489013671875,194.82579040527344
2015-12-24,93.28893280029295,1491.5731201171875,193.251220703125
2015-12-25,92.24627685546876,1481.8868408203125,188.79627990722656
2015-12-28,92.58241271972656,1481.6943359375,188.9499053955078
2015-12-29,94.31099700927734,1509.7259521484375,195.8627166748047
2015-12-30,93.35066986083984,1504.786865234375,194.5185546875
2016-01-04,92.541259765625,1481.8868408203125,192.79034423828125
2016-01-05,93.59760284423828,1526.66064453125,194.4801483154297
2016-01-06,93.2477798461914,1525.3778076171875,193.86566162109372
2016-01-11,90.1198501586914,1448.3388671875,185.1478729248047
2016-01-12,91.60148620605467,1426.2730712890625,184.26454162597656
2016-01-13,90.06497192382812,1427.2353515625,184.03414916992188
2016-01-14,89.7631607055664,1404.0784912109375,182.536376953125
2016-01-15,85.81210327148438,1345.7703857421875,178.2734832763672
2016-01-18,85.46912384033203,1354.81494140625,178.1966552734375
2016-01-19,86.41573333740234,1379.1260986328125,181.3074188232422
2016-01-20,86.31283569335938,1376.1114501953125,178.11984252929688
2016-01-21,87.6298599243164,1419.4093017578125,182.4211578369141
2016-01-22,90.81951904296876,1501.5794677734375,192.32948303222656
2016-01-25,91.23108673095705,1506.775634765625,195.8627166748047
2016-01-26,90.46968841552734,1488.1732177734375,196.55398559570312
2016-01-27,91.9170379638672,1539.81005859375,203.08274841308597
2016-01-28,93.63190460205078,1600.427734375,205.3486328125
2016-01-29,93.70050048828124,1647.8956298828125,209.26585388183597
2016-02-01,91.84844207763672,1633.783447265625,207.23040771484372
2016-02-02,90.88811492919922,1597.86181640625,208.7665863037109
2016-02-03,89.86605072021484,1587.9190673828125,209.7650909423828
2016-02-04,92.65100860595705,1637.9530029296875,217.3692169189453
2016-02-05,92.21199798583984,1663.9317626953125,216.2554473876953
2016-02-08,91.57406616210938,1592.409423828125,212.03097534179688
2016-02-09,91.02530670166016,1531.4713134765625,206.30874633789065
2016-02-10,91.25167083740234,1528.263671875,203.9276428222656
2016-02-11,89.50936126708984,1534.3580322265625,203.42840576171875
2016-02-12,90.06497192382812,1536.924072265625,207.92172241210935
2016-02-15,91.52604675292967,1558.091552734375,208.15213012695312
2016-02-16,93.18605041503906,1571.562255859375,213.06790161132807
2016-02-17,94.0434799194336,1582.4671630859375,214.98809814453125
2016-02-18,94.6608428955078,1645.329833984375,217.6380157470703
2016-02-19,93.90628814697266,1629.29296875,213.8359832763672
2016-02-22,95.96412658691406,1674.195068359375,218.9053497314453
2016-02-24,94.0777587890625,1635.7076416015625,216.37071228027344
2016-02-25,94.64025115966795,1636.670166015625,214.68089294433597
2016-02-26,95.1204071044922,1659.441162109375,217.599609375
2016-02-29,96.99304962158205,1722.945068359375,220.9024658203125
2016-03-01,97.40462493896484,1731.284423828125,222.66900634765625
2016-03-02,96.12875366210938,1693.4385986328125,220.4415740966797
2016-03-03,99.11949157714844,1731.925537109375,226.01022338867188
2016-03-04,100.2581558227539,1780.03466796875,232.1549224853516
2016-03-07,102.9950942993164,1821.7291259765625,231.1948089599609
2016-03-09,101.12931060791016,1760.149658203125,227.35433959960935
2016-03-10,100.79320526123048,1726.7939453125,231.61721801757807
2016-03-11,98.9822998046875,1712.040283203125,231.6556701660156
2016-03-14,98.22775268554688,1705.3052978515625,231.2332000732422
2016-03-15,97.77501678466795,1698.2493896484375,230.8876037597656
2016-03-16,99.29096221923828,1733.8499755859375,231.38682556152344
2016-03-17,101.0195770263672,1763.998291015625,237.6467437744141
2016-03-18,103.33807373046876,1802.485595703125,242.3704833984375
2016-03-21,102.8236083984375,1786.1285400390625,240.4118804931641
2016-03-22,102.6315460205078,1757.583740234375,244.29074096679688
2016-03-23,100.1484146118164,1723.907470703125,237.4931488037109
2016-03-24,100.01122283935548,1677.4022216796875,234.11355590820312
2016-03-25,100.17584228515624,1672.591552734375,233.88311767578125
2016-03-28,99.53106689453124,1648.5364990234375,232.34695434570312
2016-03-29,99.25667572021484,1677.0814208984375,227.66162109375
2016-03-30,101.38312530517578,1674.195068359375,236.4178009033203
