Date,WMT,COST,TGT
2015-11-23,16.63629913330078,137.53407287597656,53.71683120727539
2015-11-24,16.542434692382812,136.4738006591797,54.17016220092773
2015-11-25,16.630775451660156,136.64212036132812,54.370826721191406
2015-11-27,16.53415298461914,137.64340209960938,54.57892608642578
2015-11-30,16.24427032470703,135.8258514404297,53.88032913208008
2015-12-01,16.285688400268555,135.71649169921875,54.11069869995117
2015-12-02,16.24393081665039,135.5482177734375,53.45674514770508
2015-12-03,16.436006546020508,137.71913146972656,54.39312362670898
2015-12-04,16.608617782592773,140.3528289794922,54.92078399658203
2015-12-07,16.842466354370117,140.6221160888672,54.5417594909668
2015-12-08,16.594688415527344,142.09469604492188,53.999244689941406
2015-12-09,16.461069107055664,134.39540100097656,53.51618576049805
2015-12-10,16.580768585205078,136.1961669921875,53.78371047973633
2015-12-11,16.525094985961914,134.6479034423828,53.38983154296875
2015-12-14,16.811840057373047,136.17926025390625,54.04381942749024
2015-12-15,16.603038787841797,135.71649169921875,54.23707580566406
2015-12-16,16.78678321838379,136.95338439941406,54.84648513793945
2015-12-17,16.419307708740234,135.2032012939453,53.753997802734375
2015-12-18,16.383121490478516,132.69569396972656,53.040557861328125
2015-12-21,16.577987670898438,134.1177520751953,53.293216705322266
2015-12-22,16.853595733642578,135.66603088378906,53.96207809448242
2015-12-23,17.00670623779297,136.0699462890625,54.734981536865234
2015-12-24,16.9343204498291,136.10357666015625,54.37825393676758
2015-12-28,16.912050247192383,135.60716247558594,54.15532302856445
2015-12-29,17.151472091674805,136.8692626953125,55.32210540771485
2015-12-30,17.170955657958984,136.911376953125,54.712684631347656
2015-12-31,17.065170288085938,135.8931884765625,53.96207809448242
2016-01-04,17.109716415405273,134.2439727783203,54.66068649291992
2016-01-05,17.516159057617188,134.57211303710938,55.619361877441406
2016-01-06,17.69153594970703,133.32679748535156,55.05454635620117
2016-01-07,18.103553771972656,130.27236938476562,54.90592956542969
2016-01-08,17.688756942749023,127.99201965332033,53.047969818115234
2016-01-11,17.878063201904297,130.18824768066406,53.820892333984375
2016-01-12,17.711029052734375,131.3157958984375,54.51947784423828
2016-01-13,17.237760543823242,128.00045776367188,53.241188049316406
2016-01-14,17.555131912231445,128.8923797607422,52.327091217041016
2016-01-15,17.240550994873047,126.5447769165039,52.08186340332031
2016-01-19,17.415937423706055,126.61207580566406,51.45757675170898
2016-01-20,16.937108993530273,125.22369384765624,50.23134231567383
2016-01-21,17.226638793945312,126.53641510009766,51.011661529541016
2016-01-22,17.45212173461914,129.32151794433594,51.81428909301758
2016-01-25,17.663707733154297,126.87293243408205,51.2197494506836
2016-01-26,17.81681251525879,124.9544448852539,52.34939193725586
2016-01-27,17.80289649963379,124.3064956665039,52.5351791381836
2016-01-28,17.878063201904297,125.87157440185548,52.75813674926758
2016-01-29,18.473812103271484,127.1589813232422,53.820892333984375
2016-02-01,18.79117202758789,127.26842498779295,54.12557220458984
2016-02-02,18.61300468444824,124.9544448852539,54.48230743408203
2016-02-03,18.448753356933597,123.43987274169922,53.93235778808594
2016-02-04,18.49051284790039,120.56208801269533,52.05212020874024
2016-02-05,18.651973724365234,121.1595230102539,51.69538879394531
2016-02-08,18.624141693115234,123.70913696289062,52.02239990234375
2016-02-09,18.320697784423828,124.48322296142578,51.9183464050293
2016-02-10,18.31513023376465,124.91349792480467,51.100852966308594
2016-02-11,18.18428611755371,123.73233795166016,50.57320022583008
2016-02-12,18.42369842529297,125.41978454589844,52.41657638549805
2016-02-16,18.345752716064453,125.80786895751952,53.57806396484375
2016-02-17,18.40421867370605,127.3265609741211,54.02768707275391
2016-02-18,17.850223541259766,125.41978454589844,54.34987258911133
2016-02-19,18.000553131103516,125.46196746826172,54.19253540039063
2016-02-22,18.27058982849121,126.6094207763672,54.30493927001953
2016-02-23,18.50721549987793,126.86248779296876,55.44393157958984
2016-02-24,18.68537712097168,129.8240203857422,57.65448760986328
2016-02-25,18.94150161743164,130.5411834716797,58.95085906982422
2016-02-26,18.515567779541016,126.28887939453124,58.7710075378418
2016-02-29,18.468238830566406,126.58409881591795,58.7860107421875
2016-03-01,18.501657485961918,126.99755859375,60.66684722900391
2016-03-02,18.43205451965332,128.91275024414062,60.771759033203125
2016-03-03,18.412567138671875,127.9087371826172,59.73016357421875
2016-03-04,18.590734481811523,127.31815338134766,60.794227600097656
2016-03-07,18.899742126464844,125.0147476196289,60.56194686889648
2016-03-08,18.94150161743164,127.36035919189452,60.34464263916016
2016-03-09,18.93869400024414,129.13218688964844,60.85417938232422
2016-03-10,18.905044555664062,128.98025512695312,61.07149505615234
2016-03-11,18.83773422241211,128.84530639648438,61.348758697509766
2016-03-14,18.891023635864254,128.81150817871094,61.27381896972656
2016-03-15,19.09575080871582,130.0855255126953,61.18388748168945
2016-03-16,19.06770896911621,129.98431396484375,61.73839569091797
2016-03-17,18.9162654876709,129.7987060546875,62.21048355102539
2016-03-18,18.77603912353516,129.21653747558594,61.97819519042969
2016-03-21,19.062101364135746,129.88311767578125,61.59603500366211
2016-03-22,19.034046173095703,128.44029235839844,61.22137069702149
2016-03-23,18.919065475463867,129.52027893066406,61.07149505615234
2016-03-24,19.070507049560547,127.76531982421876,61.47615432739258
2016-03-28,19.10416603088379,128.81150817871094,62.045654296875
2016-03-29,19.07891845703125,130.99679565429688,62.17303466796875
2016-03-30,19.29486656188965,132.97108459472656,62.64512252807617
2016-03-31,19.20792579650879,132.95423889160156,61.65596771240234
2016-04-01,19.367786407470703,133.51951599121094,62.01565933227539
