Date,XOM,CVX,COP
2015-11-23,51.80509185791016,58.67967224121094,39.20107269287109
2015-11-24,52.837589263916016,59.55326461791992,40.70201110839844
2015-11-25,52.43105316162109,59.24034118652344,40.01040649414063
2015-11-27,52.41814041137695,58.91438674926758,39.34821319580078
2015-11-30,52.69562911987305,59.53369522094727,39.7676010131836
2015-12-01,52.84403991699219,60.28995895385742,40.179630279541016
2015-12-02,51.33404541015625,58.83616638183594,38.663970947265625
2015-12-03,50.59836196899414,57.923458099365234,37.97236633300781
2015-12-04,50.88875579833984,58.48411560058594,37.66333770751953
2015-12-07,49.55942535400391,56.89993667602539,36.04467010498047
2015-12-08,48.15911483764648,56.352333068847656,35.53700256347656
2015-12-09,48.80442428588867,57.10856628417969,35.66209030151367
2015-12-10,48.84315490722656,58.21682357788086,36.21390151977539
2015-12-11,47.971981048583984,56.352333068847656,35.41192626953125
2015-12-14,49.06254577636719,58.23639297485352,36.44198989868164
2015-12-15,51.256591796875,60.47249221801758,37.19981384277344
2015-12-16,51.07590866088867,60.91579818725586,36.3095703125
2015-12-17,50.30799865722656,59.02518844604492,34.78653717041016
2015-12-18,49.86918258666992,58.54930114746094,33.79326248168945
2015-12-21,49.85628128051758,58.17769241333008,33.182586669921875
2015-12-22,50.107948303222656,58.84918594360352,34.050777435302734
2015-12-23,51.747013092041016,61.15697479248047,36.07410430908203
2015-12-24,51.19205856323242,60.00960159301758,35.750370025634766
2015-12-28,50.811317443847656,58.90788269042969,34.720314025878906
2015-12-29,51.08235168457031,59.488075256347656,35.14705276489258
2015-12-30,50.40478515625,58.73183059692383,34.28622055053711
2015-12-31,50.30155563354492,58.647090911865234,34.35243225097656
2016-01-04,49.98534393310547,57.923458099365234,34.492225646972656
2016-01-05,50.411224365234375,58.41891479492188,34.874813079833984
2016-01-06,49.99179458618164,56.111106872558594,33.36652755737305
2016-01-07,49.19160079956055,54.12273025512695,32.41740036010742
2016-01-08,48.19783782958984,53.54252624511719,31.850868225097656
2016-01-11,47.55253219604492,52.65591049194336,30.254281997680664
2016-01-12,48.526947021484375,53.55556488037109,29.61417388916016
2016-01-13,48.81732940673828,53.0209846496582,28.69447326660156
2016-01-14,51.056549072265625,55.71994018554688,30.34991836547852
2016-01-15,50.06278610229492,54.54650115966797,28.9593563079834
2016-01-19,49.30131530761719,53.13833236694336,26.78151130676269
2016-01-20,47.22342300415039,51.48897552490234,25.567514419555664
2016-01-21,47.81710815429688,52.83844375610352,27.156742095947266
2016-01-22,49.4110221862793,54.46174240112305,27.715917587280277
2016-01-25,47.73968505859375,52.734134674072266,25.16284942626953
2016-01-26,49.494895935058594,54.8398551940918,26.00897026062012
2016-01-27,48.58501815795898,54.298770904541016,26.64171600341797
2016-01-28,49.68203353881836,56.013309478759766,27.97343635559082
2016-01-29,50.23699951171875,56.37187957763672,28.753326416015625
2016-02-01,49.2303466796875,55.60260009765625,28.400169372558597
2016-02-02,48.13331604003906,52.96230316162109,26.921297073364254
2016-02-03,50.64354705810547,55.16581726074219,28.42224884033203
2016-02-04,51.51472473144531,55.27663803100586,25.98689079284668
2016-02-05,51.6760368347168,54.03145980834961,24.20636367797852
2016-02-08,52.37296676635742,56.05893325805664,25.332075119018555
2016-02-09,52.14506912231445,54.05754089355469,24.706682205200195
2016-02-10,51.669708251953125,54.13578796386719,23.794340133666992
2016-02-11,51.8325080871582,54.10318756103516,23.63862991333008
2016-02-12,52.76366424560547,55.693878173828125,24.394943237304688
2016-02-16,52.88739776611328,55.99095153808594,24.29114151000977
2016-02-17,53.39529037475586,58.301639556884766,25.14385986328125
2016-02-18,53.68832015991211,57.25852584838867,24.98813819885254
2016-02-19,53.72086715698242,57.10668563842773,24.372699737548828
2016-02-22,53.64925384521485,58.63833618164063,25.544252395629883
2016-02-23,52.8939094543457,56.056976318359375,24.40977478027344
2016-02-24,53.08272552490234,56.29463958740234,24.439434051513672
2016-02-25,53.40181350708008,56.31446838378906,24.51358985900879
2016-02-26,53.23249435424805,55.6872673034668,25.299560546875
2016-02-29,52.19062423706055,55.08649826049805,25.084529876708984
2016-03-01,52.92644882202149,56.86240768432617,25.551666259765625
