Date,AAPL,MSFT,NVDA
2015-11-23,26.54896354675293,47.53814697265625,0.7542605400085449
2015-11-24,26.80374336242676,47.59077072143555,0.760358989238739
2015-11-25,26.612098693847656,47.099517822265625,0.7593833208084106
2015-11-27,26.56249237060547,47.31006622314453,0.7657253742218018
2015-11-30,26.67297744750977,47.678497314453125,0.7737756371498108
2015-12-01,26.45652198791504,48.44171905517578,0.7989015579223633
2015-12-02,26.217531204223636,48.43292617797852,0.7928029298782349
2015-12-03,25.974023818969727,47.54692077636719,0.791095495223999
2015-12-04,26.837570190429688,49.04701232910156,0.8232954144477844
2015-12-07,26.66847038269043,48.95928955078125,0.8076832294464111
2015-12-08,26.65719413757324,48.94173812866211,0.8186604976654053
2015-12-09,26.0687198638916,48.231178283691406,0.7979256510734558
2015-12-10,26.192726135253903,48.485572814941406,0.8045119047164917
2015-12-11,25.51857185363769,47.42409896850586,0.7925589680671692
2015-12-14,25.36074447631836,48.37152862548828,0.794510543346405
2015-12-15,24.912059783935547,48.42417144775391,0.8042680025100708
2015-12-16,25.103710174560547,49.23999786376953,0.8091468811035156
2015-12-17,24.57159996032715,48.86279296875,0.7969498038291931
2015-12-18,23.906471252441406,47.48550415039063,0.784021258354187
2015-12-21,24.199586868286133,48.09959030151367,0.802560567855835
2015-12-22,24.177032470703125,48.555755615234375,0.8032925724983215
2015-12-23,24.488183975219727,48.96805953979492,0.806463360786438
2015-12-24,24.35741233825684,48.83647155761719,0.8091468811035156
2015-12-28,24.084596633911133,49.08211135864258,0.8084149360656738
2015-12-29,24.517492294311523,49.60845184326172,0.821587860584259
2015-12-30,24.197328567504883,49.39791870117188,0.8145135641098022
2015-12-31,23.73285675048828,48.66980743408203,0.8040241599082947
2016-01-04,23.75315284729004,48.0732650756836,0.7896316647529602
2016-01-05,23.157915115356445,48.292572021484375,0.8023166656494141
2016-01-06,22.704721450805664,47.415321350097656,0.7691407203674316
2016-01-07,21.746479034423828,45.76610565185547,0.7386482357978821
2016-01-08,21.86146545410156,45.90646362304688,0.7227922677993774
2016-01-11,22.2154541015625,45.880149841308594,0.724012017250061
2016-01-12,22.53787612915039,46.30121612548828,0.7362089157104492
2016-01-13,21.958419799804688,45.30116653442383,0.713766872882843
2016-01-14,22.43866539001465,46.5907096862793,0.6993741393089294
2016-01-15,21.899799346923828,44.730953216552734,0.6613196730613708
2016-01-19,21.793825149536133,44.35372543334961,0.6666862368583679
2016-01-20,21.823139190673828,44.55549621582031,0.6703454256057739
2016-01-21,21.712661743164062,44.28355407714844,0.6781514286994934
2016-01-22,22.867053985595703,45.871368408203125,0.6940075159072876
2016-01-25,22.420631408691406,45.4327507019043,0.6932757496833801
2016-01-26,22.544639587402344,45.76610565185547,0.7001060247421265
2016-01-27,21.063308715820312,44.932716369628906,0.6918120384216309
2016-01-28,21.21437263488769,45.66959381103516,0.6842499375343323
2016-01-29,21.947145462036133,48.32767868041992,0.7144982814788818
2016-02-01,21.74197196960449,47.99430084228516,0.7147424221038818
2016-02-02,21.30230140686035,46.49421310424805,0.6844938397407532
2016-02-03,21.72392845153809,45.75733184814453,0.687908947467804
2016-02-04,21.898481369018555,45.616973876953125,0.688153088092804
2016-02-05,21.31361961364746,44.00282669067383,0.6447318196296692
2016-02-08,21.53805351257324,43.34488296508789,0.6152150630950928
2016-02-09,21.533506393432617,43.23085403442383,0.6218015551567078
2016-02-10,21.370288848876957,43.60805892944336,0.6203379034996033
2016-02-11,21.241077423095703,43.590518951416016,0.6171666383743286
2016-02-12,21.30681037902832,44.30108642578125,0.6276559829711914
2016-02-16,21.90756225585937,45.14046859741211,0.6583923101425171
2016-02-17,22.243061065673828,46.31558609008789,0.6747364401817322
2016-02-18,21.821407318115234,46.11235427856445,0.732793927192688
2016-02-19,21.77153778076172,45.785457611083984,0.7425513863563538
2016-02-22,21.961957931518555,46.518798828125,0.7688968777656555
2016-02-23,21.465505599975582,45.21997833251953,0.7708483338356018
2016-02-24,21.785137176513672,45.379005432128906,0.7762150168418884
2016-02-25,21.93475341796875,46.032840728759766,0.7779226303100586
2016-02-26,21.968759536743164,45.32601547241211,0.7727998495101929
2016-02-29,21.918886184692383,44.95491027832031,0.7677809000015259
2016-03-01,22.789386749267575,46.45695495605469,0.8018121719360352
2016-03-02,22.83926010131836,46.78386688232422,0.8064635992050171
2016-03-03,23.009279251098636,46.25373840332031,0.799363911151886
2016-03-04,23.351585388183597,45.97099685668945,0.7969154119491577
2016-03-07,23.093151092529297,45.08744430541992,0.7917741537094116
2016-03-08,22.902732849121094,45.635250091552734,0.77732914686203
2016-03-09,22.923131942749023,46.68667221069336,0.776839554309845
2016-03-10,22.934473037719727,45.98867034912109,0.7756155729293823
2016-03-11,23.181564331054688,46.889892578125,0.7888361215591431
2016-03-14,23.240503311157227,46.97825241088867,0.7907946705818176
2016-03-15,23.70748710632324,47.34934616088867,0.7868773937225342
2016-03-16,24.0225887298584,48.02082824707031,0.8103809952735901
2016-03-17,23.98405647277832,48.29471969604492,0.8035258054733276
2016-03-18,24.01125717163086,47.260990142822266,0.8277637958526611
2016-03-21,24.00899314880371,47.58789825439453,0.8302121758460999
2016-03-22,24.19261741638184,47.77344512939453,0.8287429213523865
2016-03-23,24.058862686157227,47.68507766723633,0.8429432511329651
2016-03-24,23.954587936401367,47.89714431762695,0.8441672921180725
2016-03-28,23.84577369689941,47.3051643371582,0.8527364134788513
2016-03-29,24.410234451293945,48.33890914916992,0.8664467930793762
2016-03-30,24.836423873901367,48.63930130004883,0.875505268573761
