Date,SBER.ME,VTBR.ME,TCSG.ME
2019-10-29,207.5046539306641,691.4124755859375,1219.064453125
2019-10-30,206.9861297607422,698.4774780273438,1216.265869140625
2019-10-31,202.99349975585935,691.8941650390625,1215.2664794921875
2019-11-01,204.2984619140625,692.8576049804688,1213.2677001953125
2019-11-05,206.13922119140625,706.9877319335938,1197.2774658203125
2019-11-06,206.56268310546875,709.7174072265625,1209.0703125
2019-11-07,209.57012939453125,711.3231201171875,1225.060546875
2019-11-08,207.5565185546875,738.6199340820312,1220.46337890625
2019-11-11,208.70591735839844,753.8740234375,1221.2630615234375
2019-11-12,207.29725646972656,754.6768798828125,1234.854736328125
2019-11-13,204.99847412109372,759.9756469726562,1238.65234375
2019-11-14,205.24908447265625,755.8009033203125,1260.439208984375
2019-11-15,207.40960693359372,753.392333984375,1249.2459716796875
2019-11-18,205.20587158203125,741.831298828125,1252.244140625
2019-11-19,206.76144409179688,746.0060424804688,1240.25146484375
2019-11-20,205.49107360839844,738.6199340820312,1215.066650390625
2019-11-21,204.9466094970703,738.6199340820312,1210.06982421875
2019-11-22,205.7935333251953,741.6707763671875,1201.2750244140625
2019-11-25,205.6638946533203,742.6341552734375,1205.2724609375
2019-11-26,203.08856201171875,736.693115234375,1197.0775146484375
2019-11-27,202.41448974609372,735.4085693359375,1202.2744140625
2019-11-28,203.26141357421875,729.4674682617188,1193.4794921875
2019-11-29,202.2070770263672,727.8617553710938,1185.084716796875
2019-12-02,202.0255889892578,721.2784423828125,1175.290771484375
2019-12-03,199.33792114257807,710.520263671875,1132.316650390625
2019-12-04,200.14161682128903,716.1401977539062,1139.3123779296875
2019-12-05,200.24533081054688,718.0670166015625,1167.095703125
2019-12-06,203.2095489501953,727.058837890625,1185.484619140625
2019-12-09,204.8515472412109,729.78857421875,1227.6590576171875
2019-12-10,205.6034240722656,725.2926635742188,1238.0528564453125
2019-12-11,207.68614196777344,727.5406494140625,1234.05517578125
2019-12-12,208.3170166015625,728.3434448242188,1234.2550048828125
2019-12-13,208.45530700683597,744.2398071289062,1256.441650390625
2019-12-16,208.6626892089844,746.8089599609375,1299.2158203125
2019-12-17,208.79234313964844,747.451171875,1298.816162109375
2019-12-18,212.7676696777344,753.392333984375,1321.602294921875
2019-12-19,210.86643981933597,746.969482421875,1339.191650390625
2019-12-20,211.4800262451172,743.43701171875,1284.824462890625
2019-12-23,215.0146331787109,746.8089599609375,1303.8131103515625
2019-12-24,214.9022674560547,744.2398071289062,1309.2098388671875
2019-12-25,214.3578186035156,738.2987060546875,1313.0074462890625
2019-12-26,214.5306701660156,738.6199340820312,1304.2127685546875
2019-12-27,217.8319396972656,736.693115234375,1307.810791015625
2019-12-30,220.1566467285156,737.0142211914062,1310.4090576171875
2020-01-03,220.3726959228516,742.4735717773438,1331.596435546875
2020-01-06,219.4220733642578,740.3861694335938,1322.0020751953125
2020-01-08,223.9591522216797,747.130126953125,1349.3856201171875
2020-01-09,222.9566802978516,755.96142578125,1365.9754638671875
2020-01-10,223.1295166015625,764.31103515625,1397.5565185546875
2020-01-13,226.767822265625,771.697265625,1425.5396728515625
2020-01-14,223.8727264404297,758.8517456054688,1425.5396728515625
2020-01-15,221.5048065185547,751.6260375976562,1452.9232177734375
2020-01-16,222.5418701171875,768.004150390625,1451.124267578125
2020-01-17,226.854248046875,771.3760375976562,1464.316162109375
2020-01-20,230.12094116210935,771.0549926757812,1472.3114013671875
2020-01-21,231.65924072265625,799.796875,1447.1265869140625
2020-01-22,230.34564208984372,786.30908203125,1443.9287109375
2020-01-23,227.917236328125,778.7623291015625,1435.53369140625
2020-01-24,229.43821716308597,770.7338256835938,1436.5330810546875
2020-01-27,220.64926147460935,751.78662109375,1398.3560791015625
2020-01-28,222.70606994628903,757.8883056640625,1449.1253662109375
2020-01-29,224.64187622070312,763.3475952148438,1467.114501953125
2020-01-30,222.36900329589844,755.4796752929688,1485.303466796875
2020-01-31,217.9529266357422,745.042724609375,1514.086181640625
2020-02-03,219.49986267089844,741.0284423828125,1544.0679931640625
2020-02-04,220.7183837890625,758.8517456054688,1589.4407958984375
2020-02-05,220.5455474853516,765.5956420898438,1634.213623046875
2020-02-06,217.87515258789065,772.0184326171875,1644.20751953125
2020-02-07,219.76776123046875,772.178955078125,1660.9974365234375
2020-02-10,218.0047607421875,761.0996704101562,1669.59228515625
2020-02-11,219.9405975341797,761.7418823242188,1683.7838134765625
2020-02-12,219.9405975341797,768.6464233398438,1670.5916748046875
2020-02-13,219.41342163085935,770.7338256835938,1656.800048828125
2020-02-14,217.56402587890625,768.9675903320312,1649.0047607421875
2020-02-17,217.22698974609372,772.3394775390625,1609.2286376953125
2020-02-18,215.36029052734372,758.048828125,1603.0325927734375
2020-02-19,215.7924041748047,762.2236328125,1623.81982421875
2020-02-20,216.1812896728516,762.8659057617188,1643.4080810546875
2020-02-21,216.74302673339844,770.091552734375,1630.61572265625
2020-02-25,211.89483642578125,759.4939575195312,1589.6407470703125
2020-02-26,216.74302673339844,758.3699951171875,1594.23779296875
2020-02-27,209.8985290527344,728.8251953125,1550.064453125
2020-02-28,201.67127990722656,695.7478637695312,1473.310791015625
2020-03-02,197.18603515625,690.4490356445312,1436.5330810546875
2020-03-03,204.49722290039065,694.6238403320312,1418.7437744140625
2020-03-04,203.3218994140625,693.0181274414062,1453.522705078125
2020-03-05,200.78114318847656,691.572998046875,1481.10595703125
2020-03-06,190.1168212890625,661.8676147460938,1115.926513671875
2020-03-10,173.8783721923828,601.3329467773438,1130.31787109375
