Date,NLMK.ME,GMKN.ME,CHMF.ME
2015-11-20,33.44969177246094,9591.611328125,299.2630310058594
2015-11-23,33.69144058227539,9434.5673828125,298.4104309082031
2015-11-24,32.68260955810547,9287.4599609375,289.2348327636719
2015-11-25,32.961551666259766,9369.958984375,290.3716735839844
2015-11-26,33.166107177734375,9333.181640625,293.1324462890625
2015-11-27,32.95224380493164,9164.212890625,288.5040283203125
2015-11-30,32.58032989501953,8866.02734375,285.7431640625
2015-12-01,32.49664688110352,8999.216796875,285.5401916503906
2015-12-02,32.58963394165039,8884.9130859375,286.5146484375
2015-12-03,32.6314697265625,9057.859375,283.1854248046875
2015-12-04,31.506404876708984,8797.4443359375,278.8006286621094
2015-12-07,30.637041091918945,8870.9970703125,273.6038513183594
2015-12-08,30.107051849365234,8915.7236328125,273.88800048828125
2015-12-09,29.893199920654297,8880.9365234375,267.1484375
2015-12-10,30.637041091918945,8870.9970703125,263.900390625
2015-12-11,30.1674919128418,8846.1513671875,261.82977294921875
2015-12-14,29.33531379699707,8726.8740234375,257.6479797363281
2015-12-15,29.288822174072266,8910.75390625,261.8703918457031
2015-12-16,29.074966430664062,9052.890625,257.16082763671875
2015-12-17,28.447345733642575,9392.8212890625,261.211669921875
2015-12-18,27.638416290283203,9173.1572265625,251.26075744628903
2015-12-21,27.196760177612305,8993.251953125,251.50946044921875
2015-12-22,27.09913825988769,9164.212890625,252.0899658203125
2015-12-23,27.368776321411133,9353.0615234375,250.43145751953125
2015-12-24,28.275341033935547,9287.4599609375,248.8144378662109
2015-12-25,28.744892120361328,9287.4599609375,248.89735412597656
2015-12-28,28.382266998291016,9296.740234375,253.1265563964844
2015-12-29,29.181900024414062,9136.658203125,255.40696716308597
2015-12-30,29.10286521911621,9097.880859375,252.7118682861328
2016-01-04,28.58217430114746,8871.1787109375,247.6949462890625
2016-01-05,28.24279022216797,9033.2490234375,254.0801696777344
2016-01-06,29.179414749145508,8938.79296875,265.2749328613281
2016-01-11,28.502172470092773,8551.0126953125,256.6093444824219
2016-01-12,29.25626945495605,8504.28125,257.0654296875
2016-01-13,29.328317642211918,8564.9345703125,253.4582061767578
2016-01-14,28.8912296295166,8415.787109375,254.1630706787109
2016-01-15,27.618377685546875,8004.1455078125,250.43145751953125
2016-01-18,27.925783157348636,8242.7802734375,257.8946533203125
2016-01-19,28.045867919921875,8491.35546875,260.7969665527344
2016-01-20,27.47428131103516,8599.7353515625,263.2018127441406
2016-01-21,28.86721611022949,9077.9931640625,274.47955322265625
2016-01-22,29.779821395874023,9048.1640625,266.1871032714844
2016-01-25,29.971948623657227,8998.44921875,268.7577819824219
2016-01-26,30.54352760314941,8829.4169921875,267.3480224609375
2016-01-27,31.74912643432617,8939.7861328125,270.1259765625
2016-01-28,31.0334587097168,8918.9052734375,261.211669921875
2016-01-29,31.4609317779541,8799.587890625,257.6873779296875
2016-02-01,31.71550750732422,8648.455078125,263.2846984863281
2016-02-02,32.58967971801758,8873.1669921875,263.0359802246094
2016-02-03,32.90188980102539,8720.044921875,262.165283203125
2016-02-04,33.04119110107422,8947.73828125,266.518798828125
2016-02-05,34.102691650390625,8953.7060546875,264.11395263671875
2016-02-08,33.574344635009766,8819.474609375,265.7724914550781
2016-02-09,33.67041015625,8600.7275390625,269.0894470214844
2016-02-10,34.102691650390625,8461.525390625,268.7992248535156
2016-02-11,34.72710418701172,8328.2900390625,275.26727294921875
2016-02-12,35.04412078857422,8302.435546875,272.8210754394531
2016-02-15,36.02397155761719,8297.466796875,271.5771789550781
2016-02-16,37.00381851196289,8437.6630859375,274.47955322265625
2016-02-17,36.28815460205078,8583.8251953125,267.0578308105469
2016-02-18,35.59648895263672,8829.4169921875,269.5455322265625
2016-02-19,35.20262145996094,8695.189453125,267.4309997558594
2016-02-22,35.86067199707031,8700.1591796875,267.7212219238281
2016-02-24,35.71656799316406,8700.1591796875,265.8968200683594
2016-02-25,35.63011169433594,8700.1591796875,265.3993835449219
2016-02-26,35.063331604003906,8884.10546875,263.2846984863281
2016-02-29,35.35152053833008,9089.92578125,261.211669921875
2016-03-01,35.22183990478516,9053.1357421875,257.47998046875
2016-03-02,35.572471618652344,9041.205078125,259.6775207519531
2016-03-03,35.7838134765625,9137.654296875,258.7239074707031
2016-03-04,36.302547454833984,9247.0263671875,260.8384704589844
2016-03-07,36.84052276611328,9439.919921875,267.1407165527344
2016-03-09,37.03264617919922,9247.0263671875,265.3578796386719
2016-03-10,36.70122909545898,9228.1337890625,269.0479736328125
2016-03-11,37.51775741577149,9168.4755859375,270.3332824707031
2016-03-14,38.425575256347656,9097.880859375,281.5280456542969
2016-03-15,37.68587875366211,9149.583984375,269.9187316894531
2016-03-16,37.91642761230469,9067.0576171875,272.40643310546875
2016-03-17,37.58981323242188,9190.3505859375,270.1259765625
2016-03-18,38.77620697021485,9435.9443359375,276.8013916015625
2016-03-21,38.425575256347656,9336.5126953125,281.9842224121094
2016-03-22,39.09801864624024,9386.2265625,294.7960205078125
2016-03-23,39.95298767089844,9187.369140625,292.3083190917969
2016-03-24,39.97700119018555,8968.6201171875,296.7861633300781
2016-03-25,39.4294319152832,8994.47265625,295.6252136230469
2016-03-28,39.81850051879883,8943.763671875,296.8691101074219
2016-03-29,39.68400573730469,8884.10546875,297.5324401855469
2016-03-30,40.58220672607422,8899.0205078125,303.29571533203125
2016-03-31,40.03944396972656,8650.443359375,295.21063232421875
2016-04-01,41.44197463989258,8411.8115234375,304.7054443359375
2016-04-04,42.81568908691406,8410.8154296875,311.588134765625
