Price,Close,High,Low,Open,Volume
Ticker,ROSN.ME,ROSN.ME,ROSN.ME,ROSN.ME,ROSN.ME
Date,,,,,
2015-11-20,209.6115264892578,209.688340093087,203.0443735657275,208.5362063563118,5924910
2015-11-23,211.07086181640625,214.4888674690821,205.8478656462453,206.88479055302923,6008653
2015-11-24,204.1196746826172,211.95419273890295,203.77402521769744,211.07087153748995,5304870
2015-11-25,208.57455444335938,210.76361273805108,204.42687861354204,205.0797589386558,5512690
2015-11-26,208.03692626953125,211.14767758166644,206.76958401052124,209.15064134069002,4553622
2015-11-27,206.00148010253906,208.03691127364982,204.31167491885307,207.0383815050295,3736060
2015-11-30,203.54360961914062,208.03693550066353,203.54360961914062,205.118182883503,4411840
2015-12-01,203.3131866455078,205.92468480112123,201.12412810322218,204.42690173528942,4741450
2015-12-02,198.551025390625,204.11967117043943,196.63080270793037,203.313187019795,6347670
2015-12-03,197.85972595214844,199.62632123020606,195.2866231808959,198.16695685613035,5212680
2015-12-04,193.13600158691406,200.08721027643196,190.52450333852843,198.89668154914736,5593830
2015-12-07,187.41372680664062,194.90259498846336,187.02968228449586,193.5584391609567,5977230
2015-12-08,187.91299438476562,189.98684433921662,185.1478806456803,186.91448792682652,5306830
2015-12-09,190.2556610107422,191.9070595495204,188.4122519238507,188.5274605967405,4019270
2015-12-10,191.25416564941406,192.94395914647154,188.33542503443746,190.4860766307417,4110100
2015-12-11,188.06661987304688,191.0621626598714,187.14490358161515,190.40928224012552,2266110
2015-12-14,188.10499572753906,189.67958055768545,185.30147550126276,186.29999356819278,4562570
2015-12-15,191.79183959960938,194.0577000258467,188.0666146195539,189.29555010695097,6544730
2015-12-16,192.0990753173828,193.98089113826262,191.25417267775086,192.94396623690602,2520830
2015-12-17,198.7046356201172,200.43283588702505,193.3664076418041,193.48161630488804,9098860
2015-12-18,192.5983123779297,199.70313546664693,191.33097024474216,198.3973748202019,6427360
2015-12-21,188.6426544189453,194.44171672636222,187.91296052639206,192.06064796784935,4050850
2015-12-22,190.6396942138672,191.52300362724398,187.5673381049568,189.71798972521577,3310390
2015-12-23,194.82579040527344,195.63228628309378,191.44620314216164,191.63822541211366,2968940
2015-12-24,193.251220703125,196.24676348113377,193.17440710569525,195.70910345945393,2723690
2015-12-25,188.79627990722656,194.05768256315176,187.1448815132378,193.5584293975901,3792130
2015-12-28,188.9499053955078,190.14044576133054,187.95138729126592,188.9499053955078,1872320
2015-12-29,195.8627166748047,195.8627166748047,188.2202326230842,189.64119039826718,4706170
2015-12-30,194.5185546875,199.1270890532453,194.5185546875,195.70909507600598,4016300
2016-01-04,192.79034423828125,195.78588673162952,192.2910910627593,195.78588673162952,2474320
2016-01-05,194.4801483154297,194.94100644105492,191.062154330721,193.3280147214756,2445540
2016-01-06,193.86566162109375,195.86269773704413,192.21427493605998,194.32651971557712,1965570
2016-01-11,185.1478729248047,189.52597828586673,183.68849665771128,188.18182241149887,7847320
2016-01-12,184.26454162597656,186.95285305615192,179.348776841699,179.348776841699,4769940
2016-01-13,184.03414916992188,187.02969190875348,183.03563101694158,185.07106240100543,3976580
2016-01-14,182.536376953125,184.22618241425644,179.9632854011476,182.8052128365168,4023560
2016-01-15,178.2734832763672,184.34138242653003,176.27644694536934,181.80668607414336,7239990
2016-01-18,178.1966552734375,180.42410877631207,175.89238817938443,175.89238817938443,4395950
2016-01-19,181.3074188232422,183.61168592528693,179.6176252924311,179.6176252924311,4620115
2016-01-20,178.11984252929688,180.0016700411426,175.35472903534898,179.7328341908479,6084730
2016-01-21,182.42115783691406,183.41967599225376,178.00464559454667,178.19666786595394,5082940
2016-01-22,192.32948303222656,193.86566104916162,184.1109329856456,185.10945104067503,10157040
2016-01-25,195.8627166748047,196.0163321477827,189.1419371810614,193.09759128076374,6757840
2016-01-26,196.55398559570312,197.32207465503782,193.28960709353072,193.4432342814848,7383300
2016-01-27,203.08274841308594,203.08274841308594,195.55548479223285,196.24676027737755,6260840
2016-01-28,205.3486328125,206.53916158338382,202.46829858595538,202.5451121867072,7949340
2016-01-29,209.26585388183594,209.26585388183594,202.276239412173,206.2318930071345,8082170
2016-02-01,207.23040771484375,209.2658623650562,204.6189097412519,209.2658623650562,4348120
2016-02-02,208.76658630371094,210.61001870427103,205.655835148145,206.38552909338475,5149330
2016-02-03,209.7650909423828,211.95414907540862,206.00145988291086,207.38401057734094,4379490
2016-02-04,217.3692169189453,218.79018645257239,212.56866000819122,214.14323329883084,6076240
2016-02-05,216.2554473876953,220.0574972929265,214.33522489822826,215.94821647742378,6858910
2016-02-08,212.03097534179688,216.7547418063964,209.9187304297368,216.255465165917,6345260
2016-02-09,206.30874633789062,212.26143713381882,203.88927025081546,208.95863978936526,8128800
2016-02-10,203.92764282226562,206.6159544978887,201.4697484856089,203.69722548329926,5822060
2016-02-11,203.42840576171875,204.61893450782918,199.4727515276202,202.89073400786404,4291
2016-02-12,207.92172241210938,208.65139297074973,204.7341339920385,205.38701439519343,3831370
2016-02-15,208.15213012695312,210.30277006583103,207.0768101575142,209.88033046933558,2875559
2016-02-16,213.06790161132812,214.79610200488827,208.382553634077,209.2658748096266,6873130
2016-02-17,214.98809814453125,215.79460562764643,212.03095092020595,212.91427198841046,2825270
2016-02-18,217.6380157470703,218.02206023455756,214.60405491983488,216.44746377173064,5004290
2016-02-19,213.8359832763672,215.87141453697922,211.45490257291544,215.25695268328332,3335030
2016-02-22,218.9053497314453,219.82706584324242,213.14468263324937,213.37509994109146,4167730
2016-02-24,216.37071228027344,217.9836806636988,214.41207098005486,216.48592095905818,3746810
2016-02-25,214.68089294433594,218.59815185068405,212.8758789596226,217.90687638255628,3984930
2016-02-26,217.599609375,218.82855649157048,216.2938721088199,216.44747584825583,5396343
2016-02-29,220.9024658203125,220.9024658203125,214.83456563024544,216.754788692939,7096780
2016-03-01,222.66900634765625,223.1298644562634,219.67346380203554,220.4415528363084,4215860
2016-03-02,220.4415740966797,224.0516022820162,218.98220947885704,223.360303332325,3118620
2016-03-03,226.01022338867188,226.58629022823519,220.55678595276194,221.17127131242796,5069970
2016-03-04,232.15492248535156,232.15492248535153,224.7812626910734,226.2790457606146,6927920
2016-03-07,231.19480895996094,233.80630709737866,228.62170589977157,233.49907615889742,3873330
2016-03-09,227.35433959960938,231.80924633729924,226.7014592742025,228.89051756987698,6077890
2016-03-10,231.61721801757812,232.07807608461695,226.27901377500518,227.81519170499135,6314011
2016-03-11,231.65567016601562,233.6911015307459,229.6586338790239,232.1933184554475,7701140
2016-03-14,231.2332000732422,231.6556631166026,229.3897910337375,231.27161859003004,3967690
2016-03-15,230.88760375976562,233.19187121557124,229.35142545589522,232.15494617241458,6672450
2016-03-16,231.38682556152344,231.54045274711186,228.54488670966003,231.00278103776986,4109180
2016-03-17,237.64674377441406,237.99239321775406,230.81075602122974,231.92449450290994,8815620
2016-03-18,242.3704833984375,245.7884889489709,235.38089199612466,237.64674056449283,9449660
2016-03-21,240.41188049316406,241.87124504773064,238.18442686353944,241.21836464588765,3996540
