sector,n_steps,chosen_lag,overall_RMSE_mean,overall_MAE_mean
rus_fin,178,7,0.06925532254463233,0.035180669102648825
rus_oil,200,1,0.04387806860966472,0.020200564599050477
rus_met,200,1,0.029094743277854485,0.01627372743579864
us_tech,200,8,0.02229615864798447,0.015219507576662633
us_retail,200,1,0.017748796258292912,0.012453296141693467
us_energy,200,7,0.018669663944415955,0.013253622396811693
