,XOM,CVX,COP
2025-02-06,-0.013284123803557257,-0.007150309116313203,-0.002698046187355807
2025-02-07,0.004233422533814313,0.004728716819268897,-0.015935769152138235
2025-02-10,0.018921688208132004,0.020429540545297442,0.011322391777889962
2025-02-11,0.006288181354619837,0.010663835863231164,0.022168902893439757
2025-02-12,-0.030548578622343392,-0.016264718628540287,-0.033084673936718545
2025-02-13,0.007239617920735242,0.006306743389454361,-0.015361358424391902
2025-02-14,0.0010168569925639304,0.007560385365860789,0.0014554168894571617
2025-02-18,0.01740129277796143,0.0052649259152683925,0.012286661005340704
2025-02-19,0.001451640334377835,0.00682846212644872,0.02152148635645723
2025-02-20,0.015294905691999539,0.0098729222948446,0.024111865093942697
2025-02-21,-0.01176529136106197,-0.011846457506053731,-0.04061777574131398
2025-02-24,0.005226082999801207,0.00616242348026752,0.008945017495157082
2025-02-25,-0.013936839901971254,-0.009353784575358404,-0.017764681675688898
2025-02-26,-0.0024636943545468526,-0.008216773862719684,-0.009833890982950955
2025-02-27,0.006283941393841808,0.009813677112223473,0.01281674043376757
2025-02-28,0.010655693292236812,0.012369708880395791,0.01811569242453981
2025-03-03,-0.03259217618094645,-0.0354854540497751,-0.06802080061724336
2025-03-04,-0.0020436759682169736,-0.007145286547861396,-0.02171746727705859
2025-03-05,-0.019720753366327948,-0.00785981359916832,-0.019608582574814903
2025-03-06,0.02046438497585612,0.014090271076533156,-0.0031551210379916483
2025-03-07,0.012924721240115566,0.02192201381435055,0.022653386047990942
2025-03-10,0.02518033422077437,0.007836729744790993,0.024738391316376784
2025-03-11,-0.023896830116935774,-0.02239784492564656,0.026659761196231813
2025-03-12,-0.00027487228972322697,-0.009193278210160472,0.024229733261718955
2025-03-13,-0.004224149027754365,0.006138233232891643,-0.016087776990286073
2025-03-14,0.029289887232684997,0.02195637108507409,0.028289253694713246
2025-03-17,0.01648544813578834,0.01076832464477917,0.004134933529840623
2025-03-18,-0.001055510943285043,0.013081905148871975,0.011706538721839799
2025-03-19,0.015455520155438052,0.019947784024378912,0.007926406941739295
2025-03-20,0.004236696357495795,0.004379242975418585,0.009624816845128947
2025-03-21,-0.003457283278728518,-0.00012133644925338416,-0.0038192428068271056
2025-03-24,0.0025941162373079862,0.0016374709957025502,0.002645732424270797
2025-03-25,0.006798839491835906,0.0055595917899244895,0.003516636883341917
2025-03-26,0.014306686379339517,0.01215908478909089,0.006318341821061502
2025-03-27,-0.00321817206972419,-0.007889590253721934,-0.003688918043946998
2025-03-28,-0.0013580507404578057,-0.003365969991256712,-0.00438619637771076
2025-03-31,0.010141137036997705,0.0071990515177606795,0.025557086026499753
2025-04-01,0.0009245591601123593,0.007266332382460661,0.0035169124544820463
2025-04-02,-0.0031131587521642246,-0.012180114690064414,0.006714335257143489
2025-04-03,-0.05401558240352067,-0.0641901688342621,-0.10787707341163699
2025-04-04,-0.07467607240025398,-0.08582408891976634,-0.098791348709514
2025-04-07,-0.013508522287688507,-0.02208767100317921,-0.007211026929428321
2025-04-08,-0.02130560117657687,-0.02324334823343044,-0.035766752292833104
2025-04-09,0.048709881425798685,0.06434223887295332,0.10171239533671628
2025-04-10,-0.05708058193161403,-0.07868545038664188,-0.09411980500247186
2025-04-11,0.03161733138872069,0.004804004247052518,0.036543514457826554
2025-04-14,0.002420981963235036,-0.002288193819685702,0.000694098267547183
2025-04-15,-0.00280891702808983,-0.005780878397302125,-0.008479883153072798
2025-04-16,0.010516815719272543,0.0060764198251028745,0.0074384190067782185
2025-04-17,0.025864653280776473,0.01837338439868308,0.029887041740193965
2025-04-21,-0.014792721504950812,-0.030488506528503656,-0.01620147950549722
