,AAPL,MSFT,NVDA
2025-02-06,0.003220983594126814,0.006102875716649692,0.030375814402638035
2025-02-07,-0.024260656058344487,-0.014705198446248957,0.00897431536156823
2025-02-10,0.0011866395871615865,0.006009995795377421,0.028322757127322795
2025-02-11,0.021596930272569814,-0.0018939587991493312,-0.005781364125113875
2025-02-12,0.018105193272120346,-0.00585036847996534,-0.012578889858638753
2025-02-13,0.01948228493440496,0.0036604612654498325,0.03115514993005508
2025-02-14,0.012630479073682643,-0.005152852686156173,0.025973664080383152
2025-02-18,-0.0005315807947647855,0.0029582141588262445,0.00395328997489397
2025-02-19,0.0016347888431447188,0.012445410109092947,-0.0012202899590292304
2025-02-20,0.003912835385917468,0.005276760007028258,0.006300573451117231
2025-02-21,-0.0011396759738193651,-0.019216049895858234,-0.04138427875584405
2025-02-24,0.006292543737412615,-0.010366833428525624,-0.03135750309066054
2025-02-25,-0.00024286104684279053,-0.01521423280558487,-0.028416614512900118
2025-02-26,-0.02741249402242918,0.004588654319402252,0.036063112261952135
2025-02-27,-0.012812588269033753,-0.018176292808442795,-0.08859156346778718
2025-02-28,0.018951155921255847,0.011298042256356666,0.03893255339328494
2025-03-03,-0.01587968324691147,-0.021643638152858635,-0.09094891427020979
2025-03-04,-0.00886152752339786,0.0003088001687867603,0.016779363971236805
2025-03-05,-0.0008056217234626573,0.031435069923069214,0.011230780230346404
2025-03-06,-0.0017407059186442808,-0.010352049070172065,-0.05908592097477339
2025-03-07,0.01576765265480784,-0.009061113506993124,0.01899187273782843
2025-03-10,-0.04969415467655924,-0.03400583299083859,-0.05199877552455412
2025-03-11,-0.029623791157092683,0.0007624863543229665,0.016501693895793146
2025-03-12,-0.017633352490546983,0.007384935138009752,0.06229469414049227
2025-03-13,-0.03422259377496584,-0.011810603516354767,-0.0013833730477070816
2025-03-14,0.01800748845366673,0.025518491927220666,0.0513495268944979
2025-03-17,0.0023859889815183166,0.00036027148405981535,-0.017745089115352997
2025-03-18,-0.006140338063989503,-0.013416136220212316,-0.03490312754959568
2025-03-19,0.01191795766983983,0.011149672863361992,0.017944245816934767
2025-03-20,-0.005310386566807601,-0.0025302869185184207,0.008557557331084986
2025-03-21,0.019289575343799825,0.011361217790445188,-0.0070270743457365725
2025-03-24,0.011207396092650868,0.004640792284954287,0.031034300820361516
2025-03-25,0.013589173950517619,0.005277679130226254,-0.005947974800732503
2025-03-26,-0.00997146671019955,-0.013220957966807667,-0.05913432783180639
2025-03-27,0.010418207609417252,0.0015629139884678622,-0.020694351574494618
2025-03-28,-0.026939919649215938,-0.03062442769616691,-0.015920754754292332
2025-03-31,0.019226584495971366,-0.009042788851406414,-0.011832314058664473
2025-04-01,0.004760601508669637,0.017952376422207372,0.016199485801871027
2025-04-02,0.003131442523670813,-0.00013085648391975013,0.0024482045297569144
2025-04-03,-0.09701334939472428,-0.02391382613815729,-0.08128113797075098
2025-04-04,-0.07568025865969652,-0.036213694185694756,-0.07642289368923727
2025-04-07,-0.03742598535831565,-0.0055176857214886965,0.03469995108481161
2025-04-08,-0.051101928950349595,-0.009264255738115956,-0.013818818190133086
2025-04-09,0.14261743945685534,0.09652469622568649,0.17162062349893414
2025-04-10,-0.0433185526926021,-0.02368468940826496,-0.060947189468904206
2025-04-11,0.0397920128946172,0.01844692496454492,0.030757538431215536
2025-04-14,0.021814455124894216,-0.0016490322617803699,-0.001985187352947726
2025-04-15,-0.0018781346301448565,-0.005377815889288762,0.013368843414683695
2025-04-16,-0.03971160864062906,-0.03729277960353361,-0.0711916224637168
2025-04-17,0.013853232116374237,-0.010359995447692505,-0.029131137439295074
2025-04-21,-0.01958339001268783,-0.023828339534620824,-0.04617746393410638
2025-04-22,0.033497790966756646,0.02121476263746036,0.02022533750618205
2025-04-23,0.02404036570217727,0.020426700096328076,0.037901359416716573
2025-04-24,0.018258362688585272,0.033901499871107355,0.035577974351164166
2025-04-25,0.00435775774828695,0.01167961050779276,0.04213291930397656
2025-04-28,0.004100915027093421,-0.0017624732246126484,-0.020752641990025467
2025-04-29,0.0050788841088103,0.007335797704953961,0.0026635998868504984
2025-04-30,0.006089137306305226,0.0030913326533292818,-0.000917645275446688
2025-05-01,0.0038514415743522434,0.073486069514618,0.02439696210689135
2025-05-02,-0.03807754895788662,0.022959655681823676,0.025564210531269005
2025-05-05,-0.03196394591314711,0.0020425521550233583,-0.005956586751732829
2025-05-06,-0.0019125229503016428,-0.006578652947961672,-0.0024630189785082024
2025-05-07,-0.011450072435285286,9.229632412743882e-05,0.03053139956264328
2025-05-08,0.006298616635080911,0.011061275752346056,0.002644765731361076
2025-05-09,0.00525225891264558,0.0012772691271862868,-0.006153406884977564
2025-05-12,0.06123265023133406,0.023717491835980375,0.053006389451628166
2025-05-13,0.010101068282407866,-0.0002670384541358928,0.05481144744221478
2025-05-14,-0.002821806042907049,0.008424939095166728,0.04079427045520845
2025-05-15,-0.00415306724093778,0.002253580408033251,-0.0037753877630590793
2025-05-16,-0.0008989847417755215,0.002512660626949881,0.004218655178709341
2025-05-19,-0.011808550392954587,0.01007518298364829,0.001254783321435582
2025-05-20,-0.009238774316743026,-0.0015265876257979372,-0.008816614678402779
2025-05-21,-0.023329172486255878,-0.012297871151802475,-0.0193859166304442
2025-05-22,-0.00361880977820217,0.005047193944528239,0.007784540548358088
2025-05-23,-0.03071100249656311,-0.010342139268384898,-0.011661527697279794
2025-05-27,0.024983547736617595,0.02307783213455572,0.031562927639344984
2025-05-28,0.0010482997006846517,-0.0072545150907696865,-0.005105130789988976
