,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,-0.021434127188273713,-0.009805507587867811,-0.027309319132674842
2022-05-26,0.00373563931728474,-0.0041686881404502055,-0.010095098252797231
2022-05-27,0.01069210613981222,0.008473925275734297,0.015315173878331697
2022-05-30,0.003185558566944505,0.00301378737696914,0.013651431424350342
2022-05-31,-0.02152840999418322,-0.01370561855360375,-0.018594991309088173
2022-06-01,0.011999625989108378,0.006779559536350085,0.006228195076664118
2022-06-02,0.004833482374261637,0.002874158937098035,0.012614296598432906
2022-06-03,-0.007493083536103511,-0.005514308180098182,-0.0009269553837337825
2022-06-06,-0.003833054710842264,-0.004393829744320178,-0.005032727474698512
2022-06-07,0.003880785323822204,0.0013159269120166211,0.0018808255551549023
