,AAPL,MSFT,NVDA
const,0.0007656569341184573,0.0011038609789028727,0.0022734479445305393
L1.AAPL,0.0014406825178403075,-0.046183926761071845,-0.03182078850190869
L1.MSFT,-0.10599753226241936,-0.1517403514136118,-0.1653315481063372
L1.NVDA,0.019841471603479828,0.03431691966733444,0.0017635380541760842
L2.AAPL,0.00876144596720441,-0.0133271732233704,-0.0117327595647573
L2.MSFT,-0.07733852116298118,-0.058799522188417885,-0.06355568970000915
L2.NVDA,0.045930576287467585,0.026213049114300457,0.05747282176511682
L3.AAPL,-0.08222788455772292,-0.08898765678823022,-0.108386247433362
L3.MSFT,0.09544125302490104,0.047165562376709005,0.115579233192847
L3.NVDA,-0.005091364148801986,0.009845067700120641,-0.012693957098668425
L4.AAPL,-0.046313687497684164,-0.02842170149712287,-0.02880898523913479
L4.MSFT,0.05345424511514047,0.00291405609177899,0.04224636920113238
L4.NVDA,-0.004730711837364729,0.004221555320152811,-0.011883239622268603
L5.AAPL,0.014150716474052565,0.022684862442487966,0.06282380314635136
L5.MSFT,0.012281504457130514,0.01004719819355972,-0.021623631409105715
L5.NVDA,0.001061567430682762,-0.01872007988904073,-0.009333554477348018
L6.AAPL,0.02030083731153315,0.022136142810720346,-0.02554135287000658
L6.MSFT,-0.061791227486740215,-0.06553518488040577,-0.07192325816433427
L6.NVDA,0.004106570028112668,0.0014676253749111266,0.023123238497582223
L7.AAPL,-0.01133443495260139,0.048748418933808386,-0.019997598648700116
L7.MSFT,0.10337392001762029,-0.001669256953392203,0.10846306104924341
L7.NVDA,0.0032250680752321658,0.012522962226846523,0.014399190336095668
L8.AAPL,-0.019648921765827852,0.0005956330478936638,-0.012737498336690556
L8.MSFT,-0.05656214798227135,-0.06942592446408952,-0.09683157586383197
L8.NVDA,0.005706424927130083,-0.008775427062080093,0.0006036553451109396
L9.AAPL,0.0693807845137911,0.0679044891723575,0.11868385360959918
L9.MSFT,0.009185052539800242,0.04139036834569643,-0.007891329888516714
L9.NVDA,0.00022063241485843852,-0.012448426424080422,-0.011268400876238654
