,XOM,CVX,COP
2025-11-21,117.06179315147773,150.22418648690788,87.29504653805496
2025-11-24,117.43793613671296,150.39592211154653,87.39578779758912
2025-11-25,117.31741238069586,150.13971004738372,87.26553384901507
2025-11-26,117.38637552371185,150.38427571900988,87.4154403632526
2025-11-27,117.36075734929561,150.4120889696994,87.40790892860217
2025-11-28,117.38243862252888,150.3731883830558,87.37654846674491
2025-12-01,117.62582736484572,150.90620488698252,87.66738368169952
2025-12-02,117.61249486389063,150.85154763142032,87.625204830245
2025-12-03,117.66496392293112,150.969591653995,87.6776458940465
2025-12-04,117.664591425459,150.93711082179465,87.66904231761636
2025-12-05,117.71226888906116,151.01878389406312,87.70172095201767
2025-12-08,117.74669976882338,151.07452151529063,87.74119026924528
2025-12-09,117.76050901270891,151.0726069498992,87.74185605848297
2025-12-10,117.83052181196823,151.2206853552534,87.82661001728744
2025-12-11,117.85039276582762,151.23787489179173,87.83539812396242
2025-12-12,117.89960955472132,151.3236173666219,87.88021814700379
2025-12-15,117.9316006610206,151.36274385808002,87.9055145065075
2025-12-16,117.96959780958431,151.42264025776262,87.93528834326838
2025-12-17,118.00803552400153,151.48495201879433,87.97172931012979
2025-12-18,118.03781251016915,151.52360351149875,87.99278832255176
