,GAZP.ME,LKOH.ME,ROSN.ME
const,0.0007827116472443602,0.0009396907248223015,0.0006178897336052367
L1.GAZP.ME,0.07723395294564266,-0.011863887044882289,0.0003814729498918673
L1.LKOH.ME,-0.026727067869391604,-0.040124529155475784,-0.00011267654994328614
L1.ROSN.ME,0.0013763170309457722,0.0822020666467902,0.11977446270301495
L2.GAZP.ME,0.027767173965357557,0.04631889294576572,-0.003363282720926347
L2.LKOH.ME,-0.05286591247963243,-0.11362217798377003,-0.021621487002616686
L2.ROSN.ME,0.006263888527200622,0.014219571889164059,-0.0005415086127518306
