,XOM,CVX,COP
const,0.00032879319720699316,0.0003744663025856075,0.0003829310417719267
L1.XOM,0.11225001913901043,0.09712935176993541,0.1666828515408238
L1.CVX,-0.13572665760137997,-0.16545406094830492,-0.2516058235185903
L1.COP,-0.012349811481044751,0.006617779597413067,0.011815789255387704
L2.XOM,-0.09501285162729486,-0.11564228849432967,-0.02788844601599415
L2.CVX,0.07218599424130075,0.10973275161628099,0.03784135428628843
L2.COP,0.039296208872034215,0.040801542287382433,0.01868011226392319
L3.XOM,-0.09778476202370497,-0.01602646763578737,-0.07261558473392249
L3.CVX,-0.01759550761649398,-0.061729174030171474,-0.06804363288159787
L3.COP,0.0696713570157818,0.053245886921616664,0.10501738840228572
L4.XOM,0.0510831082541019,0.08776546104002704,0.12351835980793349
L4.CVX,-0.12436274806272488,-0.16468031796430463,-0.21521727549196776
L4.COP,0.06765428267377463,0.06725194197775539,0.06199643705524179
L5.XOM,0.04731638400099764,0.021333981216974638,-0.03385462126793206
L5.CVX,-0.10116678979561584,-0.11538723309135814,-0.056500356281828534
L5.COP,0.07140830529583342,0.11196501077081607,0.09825519757641497
L6.XOM,0.04755048906270119,0.04320626403086934,0.05381943088354642
L6.CVX,-0.030967431052092414,-0.10352731603298661,-0.044383886403929075
L6.COP,-0.03302513232056393,0.005593206501388448,-0.043276698824495446
L7.XOM,-0.060488659498342506,-0.07156014343060338,-0.07575029031901268
L7.CVX,0.05187493900668373,0.1347099547180142,0.1332961310539696
L7.COP,0.05199472888668036,0.06426812180137131,0.056492845464784176
