,NLMK.ME,GMKN.ME,CHMF.ME
2022-05-25,-0.0001657823779766122,-0.0002871547990115187,0.0028584177902393677
2022-05-26,0.0014604739983814622,0.0005308739654477397,0.0008672520043069862
2022-05-27,0.0011495488361993342,0.0005452322502957139,0.0009913349444527772
2022-05-30,0.0011899024638713576,0.0005449317488479666,0.0009861235706598924
2022-05-31,0.0011856435376937837,0.0005452123745009464,0.000986262409616567
2022-06-01,0.001186061962424653,0.00054518570626573,0.0009862767229097066
2022-06-02,0.0011860233052073562,0.0005451888245381573,0.0009862738496554664
2022-06-03,0.001186026754065469,0.000545188536423984,0.000986274216351875
2022-06-06,0.0011860264557921102,0.0005451885635671154,0.0009862741774653546
2022-06-07,0.0011860264810059481,0.0005451885611881288,0.0009862741812741204
2022-06-08,0.0011860264789183674,0.0005451885613945545,0.0009862741809219266
2022-06-09,0.0011860264790881801,0.0005451885613772241,0.0009862741809533201
2022-06-10,0.0011860264790745957,0.0005451885613786581,0.0009862741809506049
2022-06-13,0.0011860264790756656,0.0005451885613785419,0.0009862741809508343
2022-06-14,0.0011860264790755826,0.0005451885613785512,0.0009862741809508152
2022-06-15,0.0011860264790755888,0.0005451885613785505,0.000986274180950817
2022-06-16,0.0011860264790755884,0.0005451885613785505,0.0009862741809508167
2022-06-17,0.0011860264790755884,0.0005451885613785505,0.0009862741809508167
2022-06-20,0.0011860264790755884,0.0005451885613785505,0.0009862741809508167
2022-06-21,0.0011860264790755884,0.0005451885613785505,0.0009862741809508167
