,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,-0.0008567060408313349,-0.0022814037816624947,-0.002034023552750926
2022-05-26,0.0012839519446580625,0.002115663308498071,0.0007975416862452775
2022-05-27,0.0009105078148762094,0.0010957410917301978,0.0007669763959612585
2022-05-30,0.0007536043790507768,0.0007783951734108634,0.0006594838333048817
2022-05-31,0.0007931780614820852,0.0008823075424350155,0.0006699096569052396
2022-06-01,0.0008052182648234044,0.0009057870768472592,0.0006786092015386719
2022-06-02,0.0008012033448583613,0.0008955917587397104,0.00067726764914999
2022-06-03,0.0008003114496635884,0.000893951792108427,0.0006765537146890329
2022-06-06,0.0008007045124504164,0.00089492286075298,0.0006767027158355249
2022-06-07,0.0008007665824159334,0.0008950263551705394,0.0006767594477085043
