,SBER.ME,VTBR.ME,TCSG.ME
2022-05-25,122.93651878413954,0.018982946286602218,2176.249157046764
2022-05-26,123.39662413599683,0.01890397701703558,2154.3902276423096
2022-05-27,124.72307256551886,0.01906484854971943,2187.639044399473
2022-05-30,125.12101872169653,0.019122392618861353,2217.7082255003247
2022-05-31,122.45615024595794,0.018862096235842882,2176.8510074012966
2022-06-01,123.93442991231967,0.018990407395369415,2190.451168393129
2022-06-02,124.53491484245671,0.019045067357585533,2218.257177027887
2022-06-03,123.6052516939549,0.018940336012706525,2216.201904315353
2022-06-06,123.13237286584773,0.018857297962087377,2205.076383441888
2022-06-07,123.61115158918749,0.018882129122376377,2209.2276501354154
