,GAZP.ME,LKOH.ME,ROSN.ME
2022-05-25,266.45162415140175,4405.437943772885,398.7880363421746
2022-05-26,266.79395495350917,4414.768233584074,399.106213287957
2022-05-27,267.0369835573879,4419.608327808871,399.41243575071945
2022-05-30,267.23829964438,4423.049868865309,399.6759286700284
2022-05-31,267.4503512870838,4426.954081229908,399.94376513737836
2022-06-01,267.6657939224054,4430.965775622668,400.2152627664743
2022-06-02,267.8803345856721,4434.935889589884,400.48640742503056
2022-06-03,268.0948080959361,4438.90228109352,400.75744966863624
2022-06-06,268.3095587829916,4442.876534281291,401.0287351026609
2022-06-07,268.52449815805676,4446.854805935658,401.30022694491686
