,WMT,COST,TGT
const,0.0007718643439221426,0.0008450974509869348,0.0002743134406793532
L1.WMT,-0.04052375492217003,0.000503026899129292,0.014336238830360486
L1.COST,0.004595790269702218,-0.03205412857667632,-0.024829745592373095
L1.TGT,-0.03415497714487398,-0.002398466624152803,-0.01806305446995192
